id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,,,,,,
2612.00,Water,Over Ground Tanks,Lower Subansiri,Yachuli,Toon,27.46,93.77,kacha road with block point,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,yes,concrete,no,20000.00,cement slabs,more than 4,4.00,no,monthly,,,,,,
2639.00,Water,Over Ground Tanks,Changlang,Changlang,Old Changlang,27.14,95.74,kacha road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",technical support,discarded in open field,no,concrete,no,5000.00,cement slabs,1.00,1.00,no,irregular,,,,,,
2743.00,Water,Over Ground Tanks,Tawang,Mukto,Gomkelling,27.55,91.93,pakka road,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,no,concrete,no,1400.00,cement slabs,1.00,1.00,no,monthly,,,,,,
3388.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.59,93.80,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,no,concrete,no,10000.00,none,2.00,1.00,no,never,,,,,,
3631.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Modang Tage,27.57,93.83,pakka road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,discarded in open field,no,concrete,no,1000.00,none,1.00,1.00,no,others,,,,,,
3649.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Modang Tage,27.57,93.83,pakka road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",technical support,discarded in govt. designated structures,no,concrete,yes,10000.00,tin sheets,1.00,1.00,no,never,,,,,,
3680.00,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.60,93.90,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,yes,concrete,no,3000.00,none,1.00,1.00,no,irregular,,,,,,
3750.00,Water,Over Ground Tanks,East Siang,Ruksin,Mangnang,27.91,95.28,kacha road,3g reliable,jio#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,yes,iron,yes,10000.00,steel,4.00,2.00,yes,others,,,,,,
3757.00,Water,Over Ground Tanks,East Siang,Ruksin,Mangnang,27.91,95.27,kacha road,3g reliable,jio#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,discarded in open field,yes,concrete,no,20000.00,cement slabs,2.00,2.00,yes,others,,,,,,
3963.00,Water,Over Ground Tanks,West Kameng,Shinchung,Shinchung,27.19,92.47,footway,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support,discarded in govt. designated structures,yes,concrete,no,12000.00,cement slabs,2.00,2.00,no,monthly,,,,,,
