id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What is the type of security available for the asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,How do you deal with the waste generated from this asset?,Do you have grid connection for energy supply?,What is the alternative energy source available in case of power failure from regular supplier for that asset?,Do you have landline connectivity for telephone?,Do you have wired internet connection?,How do you maintain records of operations?,What are the areas you get support from government agencies (not for costumers)?,Do you get any support from NGO(s)?,How many hours on average do you apply load shedding per day meaning facing Brown Outs?,How many hours are you facing power cuts on average per day meaning black outs?,How do you record hours of load shedding and blackouts?,How are staff trained to handle transformers ?,What type of substation is this?,What is the type of operating voltage?,What is the number of transformers linked to the substation ?,What are the issues pertaining to maintenance to ensure technical functionality ?,Do you use smart metering ?,What are the categories of customers availing power from this substation?,What is the source of power to the asset?,What is the minimum distance to the nearest grid connected Solar PV Power generating station?,Where is the nearest Off grid Solar PV generating station ?,How many times has there been maintenance or safety audits in the last year ?
3733,Energy & ICT,Electrical Substation,East Siang,Ruksin,Mangnang,27.90734,95.27653000000001,2,kacha road,1.0,3g reliable,bsnl#jio#airtel,compound wall\/ fencing,1,1,discarded in open field,yes,others,no,no,traditional book keeping,support via subsidies,no,4-8hrs,0-4hrs,traditional book keeping,by the department,distribution,medium voltage,1,timely funds for maintenance,no,households,hydro,1.0,0.0,never done
3737,Energy & ICT,Electrical Substation,East Siang,Ruksin,Mangnang,27.908040000000003,95.27597,1,kacha road,10.0,3g reliable,bsnl#jio#airtel,compound wall\/ fencing,1,1,discarded in open field,yes,kerosene generator,no,no,traditional book keeping,support via subsidies,no,0-4hrs,0-4hrs,traditional book keeping,by the department,distribution,medium voltage,1,training,no,households,hydro,1.0,1.0,1-2 times
3992,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.558590000000002,93.84916,1,footway,4.0,3g reliable,vodafone#bsnl#airtel,compound wall\/ fencing,1,1,none,yes,others,no,no,traditional book keeping,others,no,0-4hrs,0-4hrs,no records,by the department,transmission,high voltage,1,skilled manpower,yes,households,hydro,4.0,4.0,3-4 times
4182,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro,Hija,27.62241,93.83753,1,pakka road,2.0,2g reliable,bsnl#vodafone#airtel,none,1,1,burnt within the premises,no,none,no,no,traditional book keeping,none,no,0-4hrs,0-4hrs,traditional book keeping,on the job,switching,medium voltage,3,other,no,households,thermal,5.0,2.0,1-2 times
4839,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro,Modang Tage,27.57631,93.8316,2,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,none,2,2,burnt within the premises,yes,solar unit,no,no,traditional book keeping,technical support#support via schemes,no,0-4hrs,0-4hrs,no records,by the department#on the job,collector,medium voltage,6,training,yes,households,hydro#integrated solar,5.0,5.0,never done
4846,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro,Modang Tage,27.56707,93.84047,2,kacha road,5.0,3g unreliable,vodafone#bsnl#airtel,watchman,2,2,burnt within the premises,yes,solar unit,no,no,traditional book keeping,financial support#technical support#support via schemes,no,0-4hrs,0-4hrs,no records,on the job#by the department,collector,medium voltage,6,training#timely funds for maintenance#skilled manpower,yes,households#commercial,hydro#integrated solar,5.0,5.0,never done
4847,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro,Hari,27.58548,93.84382,1,kacha road,2.0,2g unreliable,vodafone#bsnl#airtel,compound wall\/ fencing,1,0,discarded in open field,yes,none,no,no,traditional book keeping,technical support,no,0-4hrs,0-4hrs,traditional book keeping,by the department,distribution,high voltage,1,skilled manpower,yes,households,hydro,200.0,250.0,1-2 times
4873,Energy & ICT,Electrical Substation,Papumpare,Doimukh,Soppo,27.210659999999997,93.80164,3,kacha road,3.0,2g reliable,vodafone#jio#airtel,compound wall\/ fencing,2,1,none,no,none,no,no,others,technical support#transport support,no,0-4hrs,0-4hrs,traditional book keeping,by the department,transmission,medium voltage,3,skilled manpower,yes,households,hydro,2.0,50.0,1-2 times
4978,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro,Molyang (Tajang),27.59651,93.84295999999999,1,kacha road,2.0,2g reliable,vodafone#bsnl#airtel,none,1,1,none,no,none,no,no,traditional book keeping,none,no,0-4hrs,0-4hrs,no records,by the department,transmission,medium voltage,1,timely funds for maintenance,no,households,hydro,7.0,7.0,1-2 times
5003,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.555459999999997,93.8458,2,kacha road,4.0,3g reliable,vodafone#bsnl#airtel,compound wall\/ fencing,1,1,burnt within the premises,yes,none,no,no,traditional book keeping,others,no,0-4hrs,0-4hrs,no records,by the department,distribution,high voltage,1,skilled manpower,yes,households,hydro,4.0,4.0,1-2 times
5423,Energy & ICT,Electrical Substation,Lower Subansiri,Ziro,Hari,27.58577,93.84443,1,kacha road,2.0,2g unreliable,vodafone#bsnl#airtel,compound wall\/ fencing,1,0,discarded in open field,yes,none,no,no,traditional book keeping,technical support,no,0-4hrs,0-4hrs,traditional book keeping,by the department,distribution,high voltage,1,skilled manpower,yes,households,hydro,5.0,5.0,1-2 times
5740,Energy & ICT,Electrical Substation,Papumpare,Doimukh,Chiputa,27.18256,93.77906999999999,1,footway,1.0,4g reliable,vodafone#bsnl#jio#airtel,none,0,0,none,no,none,no,no,traditional book keeping,support via subsidies,no,0-4hrs,0-4hrs,no records,by the department,distribution,medium voltage,1,skilled manpower,no,households,hydro,10.0,10.0,1-2 times
