id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,How far is this street light from the nearest substation or transformer ?,Which type of street light is this?,What is the system of street lights used?,Has the street light been installed with the help of APEDA ?
4667,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59784,93.84281,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4674,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.597590000000004,93.84313,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4676,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.5977,93.84336,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4678,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.597820000000002,93.84351,pakka road,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4681,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.598229999999997,93.84329,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4682,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59818,93.84349,footway,2g reliable,vodafone#bsnl#airtel,1.0,on-grid,traditional,no
4683,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.598409999999998,93.84339,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4684,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.597440000000002,93.84382,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4685,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59755,93.84371,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4686,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59735,93.84384,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4687,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59727,93.84369000000001,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4688,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.596970000000002,93.8437,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4690,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.59729,93.84312,footway,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
4693,Energy & ICT,Street Light,Lower Subansiri,Ziro,Reru,27.597859999999997,93.84384,pakka road,2g reliable,vodafone#bsnl#airtel,2.0,on-grid,traditional,no
