id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility? (in K.M),How many school buses go to this asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What is the type of structure of this asset?,What is the type of security available for the asset?,What is the total campus area?,What are the working hours of the facility?(Ex: 9.00A.M-5.A.M),What are the working days of the facility?,How many teachers are employed in the facility?,How many support staff are employed in the facility?,Where do you get drinking water from?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage?,Are there toilets available seperately as per gender?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from the facility?,What are the other mechanism used to discard the waste?,Are the premises cleaned with disinfectant regularly?,How frequently are the premises cleaned with disinfectant in a week?,Do you have grid connection for energy supply?,How many hours per day are you facing power cuts?,What is the alternative energy source available in the facility?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,How many hours do you rely on the alternative energy source in a day?,Do you have landline connectivity?,What is the number with STD Code?,Do you have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records?,What is the other recording mechanism?,What are the areas you get support from government agencies?,Where do you majorly get textbooks for educational purposes?,What other places do you get textbooks from?,Where do you get the curriculum for classes and educational programs?,What other places do you get textbooks from?,Are you using digital tools for your operations?,For what purpose are you using these?,Are there checkups or medical facilities available?,What is the frequency of these checkups?,Are there any meals served?,Is the nutritional value monitored?,Is there presence of any recreational/playing material for the kids?,What kind of residential facilities are available?,How many classrooms are there in the institute ?,Does the institute have a hall or auditorium?,How many seats are there?,Which labs are present in the institute?,Does the institute have a designated library?,How many people are students at this asset?,Apart from academics what are the co-curricular activities available for students ?,What is the percentage of drop-outs?,What is the reason for dropouts?,What is the reason for dropouts?,What is the reason for dropouts?,What is the reason for dropouts?,Are there any disaster management courses or drills practice at the institute?,"Is this a primary, secondary, or senior secondary school?",Are there any counselors at this institute?,Do parent-teacher meetings take place?,How often do parent-teacher meetings occur?,Does the institute require uniforms?,Are the teachers certified?,How frequently does the teacher trainer visit the school?,Which Board/University is this school affiliated with?,Which other board/university is this institute affiliated with?
4867,2019-05-12 06:18:29,Education,Schools,nabam tadap,Government,Not in Use,Papumpare,Doimukh,Soppo,27.21404,93.79935,Approved,https://smartvillage.imagetrekk.com/storage/images/LI8w94fIHp7qEIJGnncxhCmnYcQQv4djol7uVw6Q.jpeg?asset_id=4867,Dilaphated condition,4,Pakka Road,1,0,2G Unreliable,"[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]","[""Airtel"",""Vodafone"",""Jio""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",2000,21:30 to 3:30,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",1,1,Tap Water from Government,,Yes,No,No,No,Discarded in Open Field,,No,,Yes,6,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support""]",Government Agency,,Self-created,,No,,No,,No,,No,None,4,No,,"[""None ""]",No,12,"[""None""]",Greater than 40%,"[""Accessibility"",""Lack of Awareness "",""Parallel Studies ""]","[""Accessibility"",""Lack of Awareness "",""Parallel Studies ""]","[""Accessibility"",""Lack of Awareness "",""Parallel Studies ""]","[""Accessibility"",""Lack of Awareness "",""Parallel Studies ""]",No,Primary,No,No,,Yes,Yes,Not fixed,CBSE,
5004,2019-05-12 13:31:18,Education,Schools,kago yubbey,Government,Not in Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55581,93.84577,Approved,https://smartvillage.imagetrekk.com/storage/images/bTBHyAzeM6YBTibePHWBq8JJIBPQSVsgjrv2aJzV.jpeg?asset_id=5004,ssa school,1,Kacha Road,4,0,3G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",100,0:0 to 0:0,"[""Sunday""]",0,0,Others,,Yes,Yes,No,No,None,,No,,No,,None,,,,,,,No,,No,,Others,nil,"[""None"",""Others""]",None,nil,Others,nil,No,,No,,No,,No,None,6,No,,"[""None ""]",No,0,"[""None""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,No,No,,No,No,Not fixed,Others,ssa school yoyo
5028,2019-05-13 09:08:54,Education,Schools,nabam banio,Government,In Use,Papumpare,Itanagar,Ganga,27.08726,93.59443,Approved,https://smartvillage.imagetrekk.com/storage/images/2VbgRWgp3Wid1FVDfUcGbuv4PLMMj03p12c12JnM.jpeg?asset_id=5028,good,6,Pakka Road,1,0,4G+ Reliable,"[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",1100,9:30 to 4:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",30,7,Tap Water from Government,,Yes,Yes,Yes,Yes,Discarded in Water Bodies,,Yes,More than 7 times,Yes,1,None,,,,,,,No,,No,,Digital Records - Using Computer/Mobile,,"["" Financial Support""]",Government Agency,,Government Agency,,No,,Yes,Once in 9-12Months,Yes,No,No,Off-site Residential Areas,12,No,,"[""None ""]",No,705,"[""Sports "",""Dance ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",Yes,Senior Secondary,No,Yes,Twice a year,Yes,Yes,Less than once a year,CBSE,
5075,2019-05-13 13:57:29,Education,Schools,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.55871,93.87345,Approved,https://smartvillage.imagetrekk.com/storage/images/EIXkbsRLGYmq3sB4KWLwaKsiuyTO8fgDVF5Y7rId.jpeg?asset_id=5075,midland education center school,1,Pakka Road,0.5,3,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Security Guard"",""Security Cameras "",""Watchman ""]",1500,8:0 to 5:0,"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday "",""Saturday ""]",14,5,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Local Supplier,,Local Supplier,,No,,Yes,Less than once a year,Yes,Yes,Yes,Dormitories,14,No,,"[""Science ""]",Yes,50,"[""Sports "",""Dance ""]",10-20%,"[""Lack of Awareness ""]","[""Lack of Awareness ""]","[""Lack of Awareness ""]","[""Lack of Awareness ""]",No,Secondary,No,No,,Yes,Yes,Once in 0-3 Months,CBSE,
5125,2019-05-13 17:27:20,Education,Schools,tage tajung,Private,In Use,Lower Subansiri,Ziro,Modang Tage,27.57469,93.8322,Approved,https://smartvillage.imagetrekk.com/storage/images/BOC5v64kInhfo5hSwmEk0nz6iKQ3uGcjeNFDoOrF.jpeg?asset_id=5125,"St. Xavier School, MCJ Convent Pengu",2,Pakka Road,5,2,3G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Watchman ""]",400,9:0 to 4:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",6,4,Tap Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,Yes,5,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Digital Records - Using Computer/Mobile,,"[""None""]",Supplier in other states,,Supplier in other states,,Yes,"[""Book Keeping ""]",Yes,Once in 3-6 Months,No,,Yes,None,5,No,,"[""Computers ""]",No,37,"[""Sports "",""Art "",""Other ""]",10-20%,"[""Health issues "",""Others""]","[""Health issues "",""Others""]","[""Health issues "",""Others""]","[""Health issues "",""Others""]",No,Primary,Yes,Yes,Thrice a year,Yes,Yes,Once in 0-3 Months,Others,"cbse, icse"
5160,2019-05-13 17:55:15,Education,Schools,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Keiliya,27.54277,93.79762,Approved,https://smartvillage.imagetrekk.com/storage/images/gtWxPr3GEt18bs6lh7J4DBFGY3DJ1oEosvOCzceS.jpeg?asset_id=5160,keliya school,1,Pakka Road,3,0,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",1000,9:0 to 2:0,"[""Saturday "",""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",11,2,Tap Water from Government,,Yes,Yes,Yes,Yes,Discarded in Water Bodies,,Yes,6,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Government Agency,,Government Agency,,No,,Yes,Less than once a year,No,,No,None,8,No,,"[""Science ""]",No,39,"[""None""]",10-20%,"[""Lack of Awareness ""]","[""Lack of Awareness ""]","[""Lack of Awareness ""]","[""Lack of Awareness ""]",No,Primary,No,No,,Yes,Yes,Once in 0-3 Months,CBSE,
5174,2019-05-13 17:57:08,Education,Schools,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Keiliya,27.66486,93.88742,Approved,https://smartvillage.imagetrekk.com/storage/images/9YAwkgMSed9zgPEckqsgsnaKmN9xpmoaIm6t6d2D.jpeg?asset_id=5174,bumer memorial school,1,Pakka Road,2.5,4,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Security Guard"",""Security Cameras "",""Watchman ""]",1500,9:0 to 4:0,"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",30,10,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,More than 7 times,No,,Invertor,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""None""]",None,,Local Supplier,,No,,Yes,Once in 6-9 Months,Yes,Yes,Yes,Dormitories,20,No,,"[""Other ""]",No,10,"[""Other "",""Dance "",""Sports ""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",No,Primary,Yes,No,,Yes,Yes,Once in 0-3 Months,CBSE,
5297,2019-05-14 03:02:57,Education,Schools,mr yomrak kato,Government,In Use,West Siang,Kamba,Kambu,28.26291,94.68218,Approved,https://smartvillage.imagetrekk.com/storage/images/b1l03Iv0mhwnC3C60tOmFaljBrGxCvmXfJOKwd03.jpeg?asset_id=5297,No security fencing/wall at school,4,Kacha Road,1,0,3G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""None ""]",5000,5:0 to 0:0,"[""Saturday "",""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",4,1,Tap Water from Government,,Yes,Yes,No,No,Discarded in Govt. designated sites,,Yes,2,Yes,3,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support"",""Technical Support ""]",Government Agency,,Self-created,,No,,No,,Yes,Yes,Yes,None,6,No,,"[""None ""]",No,48,"[""Sports "",""Art "",""Dance ""]",10-20%,"[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]",No,Primary,No,Yes,Twice a year,Yes,Yes,Once in 3-6 Months,Others,state board
5310,2019-05-14 07:16:53,Education,Schools,hibu yagam,Government,In Use,Papumpare,Doimukh,Mani,27.17551,93.77185,Pending,https://smartvillage.imagetrekk.com/storage/images/8dXtJuIF2Tip0Uku855DCUJGH7i8k8fD4W1DU7Jg.jpeg?asset_id=5310,sec.school mani,8,Pakka Road,7,0,4G+ Reliable,"[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","[""Airtel"",""Vodafone"",""Jio"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",39000,9:0 to 2:30,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",21,2,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,6,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support"",""Technical Support ""]",Government Agency,,Government Agency,,No,,No,,Yes,Yes,Yes,Dormitories,8,Yes,200,"[""Computers ""]",No,230,"[""Sports "",""Dance "",""Art ""]",20-30%,"[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]","[""Parallel Studies ""]",Yes,Secondary,No,Yes,Once a year,Yes,Yes,Once in 3-6 Months,CBSE,
5398,2019-05-14 18:14:03,Education,Schools,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Dutta,27.56756,93.87545,Approved,https://smartvillage.imagetrekk.com/storage/images/5U2c82w3xzDzwoYtNUk0wvopnUipvtax7jVU2X4J.jpeg?asset_id=5398,dutta middle school,1,Pakka Road,0.5,0,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",1000,9:0 to 4:0,"[""Saturday "",""Friday "",""Thursday "",""Tuesday "",""Monday "",""Wednesday ""]",15,1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,6,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Supplier in other states,,Self-created,,No,,No,,No,,No,None,8,No,,"[""Science ""]",No,40,"[""Art "",""Dance "",""Sports ""]",10-20%,"[""Lack of Awareness "",""Health issues ""]","[""Lack of Awareness "",""Health issues ""]","[""Lack of Awareness "",""Health issues ""]","[""Lack of Awareness "",""Health issues ""]",No,Primary,No,No,,Yes,Yes,Less than once a year,CBSE,
5399,2019-05-14 18:14:05,Education,Schools,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Dutta,27.62949,93.87345,Approved,https://smartvillage.imagetrekk.com/storage/images/AzCkddlAz4ItAc41CKfOsd11qjSLxn4vU1isb0Bi.jpeg?asset_id=5399,royal blue pine acadamic,1,Pakka Road,0.2,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Security Guard"",""Security Cameras "",""Watchman ""]",1000,9:0 to 2:0,"[""Saturday "",""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",8,2,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,6,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Local Supplier,,Local Supplier,,No,,No,,No,,No,None,10,No,,"[""Science ""]",No,30,"[""Sports "",""Dance "",""Art ""]",10-20%,"[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]",No,Primary,No,No,,Yes,Yes,Less than once a year,CBSE,
5400,2019-05-14 18:14:10,Education,Schools,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.48079,93.88143,Approved,https://smartvillage.imagetrekk.com/storage/images/6XmcjRSgxl93tLhYTjCwaixUnC9tkzRZ6hyykhT9.jpeg?asset_id=5400,ato tari public school,1,Pakka Road,1,3,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Security Cameras "",""Security Guard"",""Watchman ""]",1000,9:0 to 4:0,"[""Saturday "",""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",10,2,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,6,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Local Supplier,,Local Supplier,,No,,No,,No,,No,None,10,No,,"[""None ""]",No,30,"[""Art "",""Dance "",""Sports ""]",10-20%,"[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]",No,Primary,No,No,,Yes,Yes,Less than once a year,CBSE,
5401,2019-05-14 18:14:14,Education,Schools,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Hija,27.56402,93.88942,Approved,https://smartvillage.imagetrekk.com/storage/images/pvM5fUUTsbxcnBlkazYz8OVSBt3GhSNvq7MhrbYd.jpeg?asset_id=5401,government middle school,1,Pakka Road,1,0,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",1000,9:0 to 3:0,"[""Saturday "",""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",8,1,Tap Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,Yes,6,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Government Agency,,Government Agency,,No,,No,,No,,No,None,10,No,,"[""Science ""]",No,25,"[""Dance "",""Sports "",""Art ""]",10-20%,"[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]","[""Health issues "",""Lack of Awareness ""]",No,Primary,No,No,,Yes,Yes,Less than once a year,CBSE,
5403,2019-05-14 18:14:24,Education,Schools,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Nenchaliya,27.65602,93.78365,Approved,https://smartvillage.imagetrekk.com/storage/images/R9qB4kNbeMGg9to8ZGVwX3S6VH2fD0v7GsKLMuLE.jpeg?asset_id=5403,christian english school,1,Pakka Road,1,2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing "",""Security Cameras "",""Security Guard"",""Watchman ""]",1000,9:0 to 4:0,"[""Saturday "",""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]",10,2,Tap Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,6,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",Local Supplier,,Local Supplier,,No,,No,,No,,No,None,8,No,,"[""Science ""]",No,25,"[""Art "",""Dance "",""Sports ""]",10-20%,"[""Health issues ""]","[""Health issues ""]","[""Health issues ""]","[""Health issues ""]",No,Primary,No,No,,Yes,Yes,Less than once a year,CBSE,
5404,2019-05-14 18:14:32,Education,Schools,bullo tatung,Government,Not in Use,Lower Subansiri,Ziro,Hija,27.6171,93.84751,Approved,https://smartvillage.imagetrekk.com/storage/images/z2JLIKRaq6XC1xBrKJL4E15ONOdmDdiukfpzerly.jpeg?asset_id=5404,primary school taru kago,1,Pakka Road,1.5,0,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",500,9:0 to 0:0,"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday "",""Saturday ""]",0,0,Ground Water,,No,,,,None,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",None,,Supplier in other states,,No,,No,,No,,No,None,3,No,,"[""None ""]",No,0,"[""None""]",10-20%,"[""Lack of Awareness ""]","[""Lack of Awareness ""]","[""Lack of Awareness ""]","[""Lack of Awareness ""]",No,Primary,No,No,,No,No,Not fixed,CBSE,
5466,2019-05-15 12:33:41,Education,Schools,phassang kamak,Government,In Use,Papumpare,Banderdewa,Kharsingsa,27.11465,93.77892,Approved,https://smartvillage.imagetrekk.com/storage/images/gDuCIvD9U6VC3SmaLF2jMpZxeOPuGIo6Z83eM0Qj.jpeg?asset_id=5466,Require for extan class rooms,1,Kacha Road,1,0,Nil,[],[],[],[],[],[],"Pakka/Permanent(Steel,Concrete,etc.)","[""Watchman ""]",900,10:0 to 2:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]",4,2,Bottled Water,20,Yes,No,No,No,Burnt within the premises,,Yes,5,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"["" Financial Support""]",Government Agency,,Government Agency,,No,,Yes,Not fixed,Yes,Yes,Yes,None,4,No,,"[""None ""]",No,50,"[""Sports "",""Other ""]",10-20%,"[""Health issues ""]","[""Health issues ""]","[""Health issues ""]","[""Health issues ""]",No,Primary,No,Yes,Twice a year,Yes,Yes,Not fixed,CBSE,
5511,2019-05-16 03:26:29,Education,Schools,taba rancho,Government,Repairable,Papumpare,Toru,Dokte Hoj,27.26337,93.79716,Approved,https://smartvillage.imagetrekk.com/storage/images/yqF332rTd74Y1vwIsmALVxJdnIoR0sNQv4EBiWWU.jpeg?asset_id=5511,good,7,Pakka Road,1,0,4G+ Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/Fencing "",""None ""]",1500,10:0 to 13:30,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",7,1,Tap Water from Government,,No,,,,Others,throw one place,Yes,5,No,,Others,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""Others""]",Government Agency,state goverment,Others,state goverment,No,,No,,Yes,No,No,Off-site Residential Areas,10,No,,"[""None ""]",No,50,"[""None""]",10-20%,"[""Others""]","[""Others""]","[""Others""]","[""Others""]",Yes,Primary,No,Yes,Once a year,Yes,Yes,Not fixed,Others,state board
5515,2019-05-16 04:12:44,Education,Schools,tage tajung,Government,Not in Use,Lower Subansiri,Ziro,Modang Tage,27.56583,93.84339,Approved,https://smartvillage.imagetrekk.com/storage/images/7Pm82Zw59fjgjGCuqfwSnQzuHrRt1l4Fe6wmixBv.jpeg?asset_id=5515,SSA school not in use,5,Kacha Road,5,0,3G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permanent(Steel,Concrete,etc.)","[""Compound Wall\/Fencing ""]",200,9:0 to 2:0,"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]",0,0,Others,,Yes,No,No,No,Burnt within the premises,,No,,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",None,,Government Agency,,No,,No,,No,,No,None,2,No,,"[""None ""]",No,0,"[""None""]",10-20%,"[""Lack of Awareness "",""Parallel Studies "",""Health issues "",""Others""]","[""Lack of Awareness "",""Parallel Studies "",""Health issues "",""Others""]","[""Lack of Awareness "",""Parallel Studies "",""Health issues "",""Others""]","[""Lack of Awareness "",""Parallel Studies "",""Health issues "",""Others""]",No,Primary,No,No,,No,No,Not fixed,Others,state board
