id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the Ration Shop/ Fair Price Shop?,How much distance should one travel from this Ration Shop/ Fair Price Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What are different Mobile network service providers available at the location of this Ration Shop/ Fair Price Shop?,What is the type of structure of this Ration Shop/ Fair Price Shop?,What are the working hours of this Ration Shop/ Fair Price Shop?(Ex: 9.00A.M-5.A.M),What are the working days of that Ration Shop/ Fair Price Shop?,How many people are working in the Ration Shop/ Fair Price Shop?,Where do you get drinking water from for using at this Ration Shop/ Fair Price Shop?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage at this Ration Shop/ Fair Price Shop?,Are there toilets available seperately as per gender at this Ration Shop/ Fair Price Shop?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from that Ration Shop/ Fair Price Shop?,What are the other mechanism used to discard the waste from this Ration Shop/ Fair Price Shop?,Are the premises of this Ration Shop/ Fair Price Shop cleaned with disinfectant regularly?,How frequently are the premises at this Ration Shop/ Fair Price Shop eaned with disinfectant in a week?,Do you have grid connection for energy supply for this Ration Shop/ Fair Price Shop?,How many hours per day are you facing power cuts at this Ration Shop/ Fair Price Shop?,What is the alternative energy source available for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,How many hours do you rely on the alternative energy source in a day for that Ration Shop/ Fair Price Shop?,Is there landline connectivity for that Ration Shop/ Fair Price Shop?,What is the number with STD Code?,Does this Ration Shop/ Fair Price Shop have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this Ration Shop/ Fair Price Shop?,What are other type of book keeping methods used in the Ration Shop/ Fair Price Shop?,What are the areas the Ration Shop/ Fair Price Shop gets support from government agencies?,Do you get any support from NGO(s) for this Ration Shop/ Fair Price Shop?,From what Organization(s) did you get support?,Are you using any digital technologies that can be used in the Ration Shop/ Fair Price Shop?,For what purpose are you using digital tools here at this Ration Shop/ Fair Price Shop?,Do you have a POS device in your shop?,Does the POS device function smoothly?,How many times in a year does the supply comes?,How does the grains/product are weighed?,What are the foodgrains/items are available in the fair price shop?,How many people (villagers) are enrolled as beneficiaries in the fair price shop?,How many villages does your fair price shop covers?
2796,2019-04-03 12:30:21,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,28.09194,93.59852,Approved,https://smartvillage.imagetrekk.com/storage/images/9o5c2JPtJSPaBVFRLMFhDShoicVFfhdYtRocxdbA.jpeg?asset_id=2796,Tenzin store,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 18:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Flour"",""Sugar"",""Others""]",0,1
2797,2019-04-03 12:30:40,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34806,92.22278,Approved,https://smartvillage.imagetrekk.com/storage/images/xNdmUmMonwmH8mhh3GWT1Ejcg1W25My36hNtMuI2.jpeg?asset_id=2797,Dungkharpa Enterprises,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Rice"",""Flour"",""Sugar""]",10,1
2798,2019-04-03 12:30:55,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34194,92.27597,Approved,https://smartvillage.imagetrekk.com/storage/images/X7oyiOdEghzyKDrMwALzqNBH0ch83nPwhyC3aaeN.jpeg?asset_id=2798,Pharmacy Cum ration shop,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,3,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Flour"",""Sugar"",""Others""]",0,1
2799,2019-04-03 12:31:21,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34811,92.27605,Approved,https://smartvillage.imagetrekk.com/storage/images/BMXeUixh42iyvecmP96IXje5xSwzKPP2rTea9Ukt.jpeg?asset_id=2799,MD. Nizamuddin,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Rice"",""Flour"",""Sugar"",""Others""]",0,1
2800,2019-04-03 12:31:35,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.30403,93.48042,Rejected,https://smartvillage.imagetrekk.com/storage/images/pi5zCSxkBW0XKbrI5pEorHGw6tiEV7uFwCGvnRtL.jpeg?asset_id=2800,Pan gumti,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",0,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Others""]",0,1
2801,2019-04-03 12:32:01,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34681,92.27365,Rejected,https://smartvillage.imagetrekk.com/storage/images/ApUuu28K6d7EqAiYUEK0P7pqJC18Kh6OuVY70tHH.jpeg?asset_id=2801,Pan gumti,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Others""]",0,1
2802,2019-04-03 12:32:18,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,28.22754,93.66993,Approved,https://smartvillage.imagetrekk.com/storage/images/51LVMCJyhdCQno4YLiZuMr2c8AFuZRpHsXrrkhk3.jpeg?asset_id=2802,Sam Enterprises,1,Pakka Road,0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Rice"",""Sugar""]",0,1
2813,2019-04-03 12:42:33,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34681,92.27365,Approved,https://smartvillage.imagetrekk.com/storage/images/N7mQkY3PCv4Pu0Oyn6G37GlbSfBd0WtzvpYsW1Ag.jpeg?asset_id=2813,Pan gumti,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Others""]",0,1
2814,2019-04-03 12:42:55,Food & Civil Supplies,Ration Shop/ Fair Price Shop,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.30403,93.48042,Rejected,https://smartvillage.imagetrekk.com/storage/images/2AtqEkK98JJPBZQ9ilFNB5aOhOub8iOWXE37V628.jpeg?asset_id=2814,Pan gumti,1,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",0,Tap Water from Government,,No,,,,Discarded in Water Bodies,,Yes,2,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Monthly,Manual,"[""Others""]",0,1
3001,2019-04-25 10:42:12,Food & Civil Supplies,Ration Shop/ Fair Price Shop,tendel zangmu wangja,Government,In Use,West Kameng,Shergaon,Shergaon,27.12993,92.26063,Approved,https://smartvillage.imagetrekk.com/storage/images/CfJAbNapRFpqXHb4lzLGcBA7PYZGbLjUmROwhbAQ.jpeg?asset_id=3001,Not in good condition,2,Pakka Road,24,4G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",9:0 to 2:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusdayt"",""Friday"",""Saturday"",""Sunday""]",3,Tap Water from Government,,No,,,,Burnt within the premises,,No,,Yes,4,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Marketing Support"",""Transport Support""]",No,,No,,No,,Monthly,Manual,"[""Rice""]",263,1
