id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility? (in K.M),What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What is the type of security available for the asset?,How many Technical staff are employed in/for the facility?,How many Non Technical staff are employed in/for the facility?,Where do you get drinking water from?,How much do you pay per litre of bottled water? (In Rupees),How do you deal with the waste generated from the facility?,What are the other mechanism used to discard the waste?,Do you have landline connectivity,What is the number with STD Code?,Do you have wired internet connection,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations?,What are the other recording mechanism?,What are the areas you get support from government agencies?,Do you get any support from NGO(s)?,From what Organization(s) did you get support?,Are you using digital tools for your operations?,For what purpose are you using these?,What is the type of renewable energy unit ?,What is the type of operating voltage?,What is the created energy of this unit (in kWh)?,What is the peak power of this unit (kWh)?,How many villagers can be provided sufficient electricity from this unit?,Do you use smart metering ?,What are the issues pertaning to maintenance ?,What are the categories of customers availing power from this asset?,Where is the nearest grid connected Solar PV Power generating station?,How far is the nearest station?,Have you ever initiated or tried a Biomass gasifier project in Arunachal Pradesh?,What is the frequency of maintenance or safety audit ?,What is the size of Biogas plant implemented by the APEDA?
5219,2019-05-13 19:37:40,Energy & ICT,Renewable Energy Unit,padi tara,Government,In Use,Lower Subansiri,Ziro,Reru,27.59809,93.84145,Pending,https://smartvillage.imagetrekk.com/storage/images/FR2QaF4RSC782vUgjWa8FrMKPAhmWuM4oHhuQcJk.jpeg?asset_id=5219,solar light 2,1,Footway,1,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",1,1,Ground Water,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,2CuM
5220,2019-05-13 19:37:49,Energy & ICT,Renewable Energy Unit,padi tara,Government,In Use,Lower Subansiri,Ziro,Reru,27.59807,93.84146,Pending,https://smartvillage.imagetrekk.com/storage/images/92FL1UXpBrMtp3RKzIscqOJ7edCkBmKjIxJ6t9nM.jpeg?asset_id=5220,solar light 2,1,Footway,1,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",1,1,Ground Water,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,2CuM
5221,2019-05-13 19:37:49,Energy & ICT,Renewable Energy Unit,padi tara,Government,In Use,Lower Subansiri,Ziro,Reru,27.59849,93.84154,Approved,https://smartvillage.imagetrekk.com/storage/images/jNHXRCmEQFZdrp6fCQrjZL7fytEUkChrzRRG9h5S.jpeg?asset_id=5221,solar,1,Footway,1,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",1,1,Ground Water,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,2CuM
5222,2019-05-13 19:37:51,Energy & ICT,Renewable Energy Unit,padi tara,Government,In Use,Lower Subansiri,Ziro,Reru,27.59831,93.84058,Approved,https://smartvillage.imagetrekk.com/storage/images/wO4RcpkTX3C0dzuGFztaKxZKTUBAJ0b49VShHDEH.jpeg?asset_id=5222,solar light 4,1,Footway,1,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""None""]",1,1,Ground Water,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,2CuM
5223,2019-05-13 19:37:52,Energy & ICT,Renewable Energy Unit,padi tara,Government,In Use,Lower Subansiri,Ziro,Reru,27.59787,93.84192,Approved,https://smartvillage.imagetrekk.com/storage/images/D6sBaLM4Glzx9RwcqslmL1VOfkWm4mVCsu8Ga8yI.jpeg?asset_id=5223,solar light 5,1,Footway,1,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",1,1,Ground Water,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,2,No,"[""None""]","[""Household""]",Papum Pare,,No,Irregular,2CuM
5225,2019-05-13 19:37:57,Energy & ICT,Renewable Energy Unit,padi tara,Government,Not in Use,Lower Subansiri,Ziro,Reru,27.60057,93.84604,Pending,https://smartvillage.imagetrekk.com/storage/images/AL93woNI5b1T2EI08AkqB90FykinaLdB73CwNgLE.jpeg?asset_id=5225,solar light 6,1,Footway,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""None""]",1,1,Ground Water,,Burnt within the premises,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,200,200,1,No,"[""None""]","[""Household""]",Papum Pare,,No,Never,2CuM
6505,2019-05-27 14:52:30,Energy & ICT,Renewable Energy Unit,tabey,Government,In Use,Shi-Yomi,Monigong,Karle,28.21302,93.90339,Rejected,https://smartvillage.imagetrekk.com/storage/images/eKqAdwAonpRRmIQfAxDz6ZZno79hIS63pyISYchN.jpeg?asset_id=6505,distributed by Apeda department of Sri tape yorpen,1,Footway,0,Nil,,,,,,,"[""None""]",0,1,Spring Water,,Others,1,No,,No,,Others,1,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,1.1,2.2,2,No,"[""Other""]","[""Household""]",Others,169,No,Never,Not applicable
6540,2019-05-28 01:29:23,Energy & ICT,Renewable Energy Unit,tabey,Government,In Use,Shi-Yomi,Monigong,Karle,28.16426,94.8033,Rejected,https://smartvillage.imagetrekk.com/storage/images/xwIPMxxgf5iSGasMskZPL6sxa5aL8hTe3DEaGCpu.jpeg?asset_id=6540,distributed by agencies,1,Kacha Road,1,Nil,,,,,,,"[""None""]",0,0,Spring Water,,Others,burn,No,,No,,Traditional Book Keeping,,"[""Technical Support""]",No,,No,,"[""Solar""]",Medium voltage,0.01,0.01,1,No,"[""None""]","[""Others""]",West Siang,,No,Never,Not applicable
6585,2019-05-28 02:17:20,Energy & ICT,Renewable Energy Unit,tabey,Government,In Use,Shi-Yomi,Monigong,Karle,28.75114,94.25936,Approved,https://smartvillage.imagetrekk.com/storage/images/Eq1NswPydd4UGzrfbbshi19bap4SGvCdA0P0yA5t.jpeg?asset_id=6585,distributed by Apeda department agency of late lingdung yorung,1,Footway,1,Nil,,,,,,,"[""None""]",0,1,Spring Water,,Others,0,No,,No,,Others,0,"[""Support via Schemes""]",No,,No,,"[""Solar""]",Medium voltage,1.2,2.2,2,No,"[""Other""]","[""Others""]",Others,0,No,Others,Not applicable
6589,2019-05-28 02:20:54,Energy & ICT,Renewable Energy Unit,tabey,Government,In Use,Shi-Yomi,Monigong,Karle,28.74872,94.34762,Approved,https://smartvillage.imagetrekk.com/storage/images/Ts17iW2JlTxAsTvKuF9Ip75ovQj36auvijwSxHUp.jpeg?asset_id=6589,distributed by Apeda department agency of Sri omgje yorumg,1,Footway,0,Nil,,,,,,,"[""None""]",0,1,Others,,Others,1,No,,No,,Others,0,"[""Others""]",No,,No,,"[""Other""]",Medium voltage,1.2,2.2,1,No,"[""None""]","[""Others""]",Others,0,No,Others,Not applicable
6592,2019-05-28 02:23:34,Energy & ICT,Renewable Energy Unit,tabey,Government,In Use,Shi-Yomi,Monigong,Karle,28.74496,94.33473,Approved,https://smartvillage.imagetrekk.com/storage/images/1DNMpR6656DWfiLx26AKsoWR4BeCEI1FCK90duLz.jpeg?asset_id=6592,sponsored by apeda department,1,Footway,1,Nil,,,,,,,"[""None""]",1,0,Spring Water,,None,,No,,No,,Others,0,"[""Support via Schemes""]",No,,No,,"[""Solar""]",Medium voltage,1.2,2.2,12,No,"[""None""]","[""Others""]",Others,0,No,Others,Not applicable
6596,2019-05-28 02:26:59,Energy & ICT,Renewable Energy Unit,tabey,Government,In Use,Shi-Yomi,Monigong,Karle,28.75006,94.37588,Approved,https://smartvillage.imagetrekk.com/storage/images/8yrtaZnK9CB6ue4Kflt8ePBs1zvadQFNufAo2oem.jpeg?asset_id=6596,constructed by apeda department agency,1,Footway,0,Nil,,,,,,,"[""None""]",1,0,Others,,Others,0,No,,No,,Others,0,"[""None""]",No,,No,,"[""Solar""]",Medium voltage,1.4,2.5,15,No,"[""None""]","[""Others""]",Others,1,No,Others,Not applicable
1689,2019-02-27 01:42:24,Energy & ICT,Renewable Energy Unit,undefined,Government,In Use,Tirap,Khonsa,Khonsa I,27.00042,95.50771,Approved,https://smartvillage.imagetrekk.com/storage/images/sCpYIDIiVzlSHfhTx1WHLK9HxbdLThoStIJ34faw.jpeg?asset_id=1689,khonsa solar street light panel 1,0,Pakka Road,0.2,4G+ Reliable,"[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""Airtel"",""BSNL"",""Vodafone"",""Jio""]","[""None""]",0,0,Others,,None,,No,,No,,Others,none,"[""Support via Subsidies""]",No,,No,[],"[""Solar""]",Low Voltage,20,20,0,No,"[""None""]","[""Others""]",Others,2,No,Yearly,Not applicable
