id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the unit until it was open?,What is the type of the road available to the unit?,How much distance should one travel from the unit to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the unit?,What is the type of security available for the unit?,What are the working hours of the unit?(Ex: 9.00A.M-5.A.M),What are the working days of the unit?,How many Technical staff are employed in the unit?,How many Non Technical staff are employed in the unit?,Where do you get drinking water from for using at the unit?,How much do you pay per litre of bottled water? (In Rupees),Where do you get water for operational purposes for the unit?,What are the other source of water you depend upon?,Are there toilets available for public and employees' usage at the unit?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the agricultural waste generated from the unit?,What are the other mechanism used to discard the waste from the unit?,Are the premises of unit cleaned with disinfectant regularly?,How frequently are the premises at the unit cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the unit?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the unit?,What is the number with STD Code of the unit?,Does the unit have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for operations of the unit?,What are the other recording mechanism used?,What are the areas the unit gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the unit?,What is the name of the organization?,Are you using any digital technologies that can be used in the unit?,For what purpose are you using digital tools here at the unit?,What is the type of products stored in the unit?,How does the unit advertise about the services available?,What is the average operational cost per month to run the unit?(Excluding Salary of the Employees),What are the products purchased by the customers from the unit?,What is the average cost per unit to store in the unit?(In Rupees),What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,Which type of customers store the produce in the unit?,How does the customers transport the goods to store in the unit?,How many cubic meters are available for storage?,Do you have a cold storage facility?,How often did you need to throw away agricultural produce last week?,How do you document wastage of food?
3366,2019-05-05 11:28:13,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.58702,93.88542,Approved,https://smartvillage.imagetrekk.com/storage/images/mbam8NEfhed3ixklj3ashYNawYs5LJu5PrjoVOlK.jpeg?asset_id=3366,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1500,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,0,book keeping
3367,2019-05-05 11:28:30,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.6118,93.86347,Approved,https://smartvillage.imagetrekk.com/storage/images/VDQw4A1mLsBf7EpiJzcvw1Xq6Q6FrsypJ4jSD6T8.jpeg?asset_id=3367,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",2:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1500,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",20,No,0,book keeping
3368,2019-05-05 11:28:51,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.5764,93.83952,Approved,https://smartvillage.imagetrekk.com/storage/images/o9qcPSthPjPiAr5gvm31fklgwoalihMXlqoY9Fum.jpeg?asset_id=3368,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1500,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",20,No,0,book keeping
3369,2019-05-05 11:29:15,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60118,93.90738,Approved,https://smartvillage.imagetrekk.com/storage/images/YfxNUqG4bRSu1KsXKhfJfsNVAhuDKkYMp79tLwSs.jpeg?asset_id=3369,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1500,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",24,No,0,book keeping
3370,2019-05-05 11:29:35,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.58525,93.85948,Approved,https://smartvillage.imagetrekk.com/storage/images/2L3yQa8rwchKcXb6ug9MNb7njcU68TqtwHMzEkNk.jpeg?asset_id=3370,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1500,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",16,No,0,book keeping
3371,2019-05-05 11:30:01,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,Repairable,Lower Subansiri,Ziro,Hija,27.56933,93.8974,Approved,https://smartvillage.imagetrekk.com/storage/images/e84rq16oB4TZWpeP2L1OFDgXXUGM6CebQ3buoHrC.jpeg?asset_id=3371,not good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5:0 to 5:0,"[""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,None,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1500,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",18,No,0,book keeping
3372,2019-05-05 11:30:40,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.58816,93.81687,Approved,https://smartvillage.imagetrekk.com/storage/images/e9yppTqen2md0Zc3hUi7GTwqLf8YD7ZW1kfDiiSH.jpeg?asset_id=3372,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",5:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Others""]",1500,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",26,No,0,book keeping
3374,2019-05-05 11:31:12,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60118,93.86347,Approved,https://smartvillage.imagetrekk.com/storage/images/wS8F2omQNntQlnu257LTJtRi1zd23fS5yyhBiPBz.jpeg?asset_id=3374,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Marketing team\/ Sales Agents"",""Others""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",40,No,0,book keeping
3375,2019-05-05 11:31:28,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.58348,93.91736,Approved,https://smartvillage.imagetrekk.com/storage/images/LknhRf0nCFsG6yu4hncUbEqJ7VVZ3taiOujlKONQ.jpeg?asset_id=3375,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Marketing team\/ Sales Agents"",""Others""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",28,No,0,book keeping
3376,2019-05-05 11:32:08,Agriculture,Warehouse / Godown/ Timber Depot,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.57463,93.88343,Approved,https://smartvillage.imagetrekk.com/storage/images/0Nh64gKHUaz6GsTm15QsM7Os1aDFQg665lZLrVeL.jpeg?asset_id=3376,good,1,Kacha Road,2,2G Reliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",5:0 to 5:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday""]",0,2,Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,"[""Food Grains""]","[""Marketing team\/ Sales Agents"",""Others""]",1000,grain,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]",28,No,0,book keeping
