id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel from this asset to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the working days of that asset?,Where do you get drinking water from for using at this asset?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for this asset?,What are the other source of water you depend upon?,Are there toilets available for public and employees usage at this asset?,Are there toilets available separately as per gender at this asset?,Is there running water available in the toilets at this asset?,Is there soap for hand-wash available at this asset?,How do you deal with the waste generated from that asset?,What are the other mechanism used to discard the waste from this asset?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this asset?,How many hours per day are you facing power cuts at this asset?,What is the alternative energy source available for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,How many hours do you rely on the alternative energy source in a day for that asset?,Is there landline connectivity for that asset?,What is the number with STD Code,Are you using digital tools for your operations for this asset?,For what purpose are you using digital tools here at this asset?,Which of the following religious structure is it?,Does the Gompa also serve as a school?,On which year was the structure established?,What is the average footfall in a week?,How often are tourists part of the visitors (people not from this area)?,What is the most famous religious festival celebrated here?,What is the maximum footfall during these religious festivals ?,Which of the following does the compound have?,Describe the involvement of the local community in running and management of the site?,What are the provisions available for the differently abled?,What other provisions are there for the differently-abled?,What makes this site special and unique compared to similar religious sites?
5087,2019-05-13 14:22:55,Tourism,Religious Site,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Dutta,27.63125,93.86946,Approved,https://smartvillage.imagetrekk.com/storage/images/z1ToTCOl4QFfNxqkzcEqrNJcf4KmQr6d0IzatgKc.jpeg?asset_id=5087,aakang koj lapang 3,1,"[""Pakka Road""]",0.5,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",7:0 to 19:0,"[""Sunday "",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Wednesday"",""Tuesday"",""Monday""]",Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,>7,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1800,10,Sometimes,myoko,100,"[""Parking area"",""Dustbins""]",Very High Involvement,None of the above,,its unique and found no where on earth
5089,2019-05-13 14:23:34,Tourism,Religious Site,bullo tatung,Community,In Use,Lower Subansiri,Ziro,Hija,27.58702,93.89141,Approved,https://smartvillage.imagetrekk.com/storage/images/GK8zln5VqusRY0bY0eUBUuIydJGvqiZCM1OwKZya.jpeg?asset_id=5089,taro taku lapang 3,1,"[""Pakka Road""]",1,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",7:0 to 19:0,"[""Sunday "",""Saturday"",""Friday"",""Thursday"",""Wednesday"",""Wednesday"",""Tuesday"",""Monday""]",Ground Water,,Ground Water,,No,,,,Burnt within the premises,,Yes,>7,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1800,10,Sometimes,myoko,100,"[""Parking area"",""Dustbins""]",Very High Involvement,None of the above,,it is unique and found no where else on earth
5101,2019-05-13 17:18:48,Tourism,Religious Site,tage tajung,Religion,In Use,Lower Subansiri,Ziro,Modang Tage,27.57382,93.83156,Approved,https://smartvillage.imagetrekk.com/storage/images/xKiT7VQ3xAkOPd2o5kGDsnRg9WU69LKoxU9K923e.jpeg?asset_id=5101,Kombu Baptist Church Mudang Tage village no. (1),2,"[""Pakka Road""]",5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing"",""Watchman""]",8:0 to 2:0,"[""Sunday ""]",Tap Water from Government,,Water from Government,,Yes,Yes,Yes,Yes,Burnt within the premises,,Yes,5,Yes,2,Solar Unit,5,5,5,5,5,No,,No,,Church,,2013,6,Almost always,"Christmas, and Good Friday",2,"[""Dustbins"",""Parking area"",""Display of information about the structure""]",High involvement,Ramp,,This church is benefits for Mudang Tage Christian people's.
5113,2019-05-13 17:24:23,Tourism,Religious Site,tage tajung,Private,Ir-repairable,Lower Subansiri,Ziro,Modang Tage,27.57326,93.82886,Approved,https://smartvillage.imagetrekk.com/storage/images/uSO6H6O3fi9hCJzf6ucVSdnFUXpCcoo7XaYMKOuM.jpeg?asset_id=5113,"Personal ritual iteams Locally called "" Tammu Aggian"" no. (3)",2,"[""Pakka Road""]",5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""None""]",8:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Sunday "",""Saturday""]",Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,No,,Solar Unit,5,5,5,5,5,No,,No,,Namlo/Gangin,No,2018,6,Never,"Dree, Myoko and Murum",6,"[""None of the above""]",Medium involvement,None of the above,,this is unique for when household members are getting sick or some occasion
5117,2019-05-13 17:25:34,Tourism,Religious Site,tage tajung,Religion,In Use,Lower Subansiri,Ziro,Modang Tage,27.57477,93.82976,Approved,https://smartvillage.imagetrekk.com/storage/images/4LvatbUVD7tzatLQnXJukqfD2c2DpsTZ6HT41xZ6.jpeg?asset_id=5117,"The local ritual site called ""Pamu Aggian"" from Liagi Tage clan no. (2)",5,"[""Kacha Road""]",5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",8:0 to 17:00,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Tap Water from Government,,Water from Government,,No,,,,Burnt within the premises,,No,,No,,Solar Unit,5,5,5,5,5,No,,No,,Namlo/Gangin,No,1972,6,Never,"Dree, Myoko and Murum",6,"[""None of the above""]",High involvement,None of the above,,this ritual site important for Apatani tribes and used on Myoko festival
5124,2019-05-13 17:26:59,Tourism,Religious Site,tage tajung,Religion,In Use,Lower Subansiri,Ziro,Modang Tage,27.57232,93.82983,Approved,https://smartvillage.imagetrekk.com/storage/images/3sbBf1sFv8qmWWQvqdGUcL4Jijk40mTzQldvTCVo.jpeg?asset_id=5124,Divine Mercy Church at Mudang Tage village,2,"[""Pakka Road""]",5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing"",""Watchman""]",8:0 to 2:0,"[""Sunday ""]",Tap Water from Government,,Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,Yes,5,Yes,2,Solar Unit,5,5,5,5,5,No,,No,,Church,,2014,6,Almost always,Christmas and Good Friday,6,"[""Dustbins"",""Parking area"",""Display of information about the structure""]",High involvement,Ramp,,This church is Roman Catholic denomination
5318,2019-05-14 09:37:51,Tourism,Religious Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58306,93.84395,Approved,https://smartvillage.imagetrekk.com/storage/images/zspgMJjveJms0Frf6vKl4H4jLpqWh7cMYvwzsST6.jpeg?asset_id=5318,tasso nago,1,"[""Pakka Road""]",3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:0 to 0:0,"[""Monday""]",Bottled Water,20,Others,bottle water,No,,,,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Temple,,1880,0,Sometimes,myoko,50,"[""None of the above""]",Very High Involvement,None of the above,,ritual worship during myoko festival
5326,2019-05-14 09:38:23,Tourism,Religious Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58371,93.84529,Rejected,https://smartvillage.imagetrekk.com/storage/images/RBOPRxtNEX1JIEX9V24dyRj6P7Jzchpx6juwIosR.jpeg?asset_id=5326,nending pamung,20,"[""Kacha Road""]",3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kaccha/Temporary(Wood,Bamboo,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",Bottled Water,20,Others,from home,No,,,,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Namlo/Gangin,No,1880,0,Sometimes,myoko,50,"[""None of the above""]",High involvement,None of the above,,uhi allo during myoku festival
5335,2019-05-14 09:38:59,Tourism,Religious Site,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58438,93.84494,Approved,https://smartvillage.imagetrekk.com/storage/images/JWxGt5lXJR2riB2zspedlf28HQOfFljFU7fRgPNt.jpeg?asset_id=5335,community rituals worship site,1,"[""Kacha Road""]",3,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",0:0 to 0:0,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday"",""Sunday ""]",Bottled Water,20,Others,feom home,No,,,,Discarded in Open Field,,No,,No,,Others,,,,,,No,,No,,Temple,,1880,0,Sometimes,any puja,0,"[""None of the above""]",High involvement,None of the above,,every clan can do ritual puja
5617,2019-05-16 10:10:51,Tourism,Religious Site,taba rancho,Private,Repairable,Papumpare,Toru,Dokte Hoj,27.26433,93.79709,Approved,https://smartvillage.imagetrekk.com/storage/images/3eZsGyuN3AEN8LGHSBYFTFN4j9yBgz7Dm3X6qkDQ.jpeg?asset_id=5617,good,2,"[""Footway"",""Pakka Road""]",1,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",14:24 to 16:25,"[""Monday"",""Tuesday"",""Wednesday"",""Wednesday"",""Thursday"",""Friday"",""Saturday""]",Bottled Water,80,Others,market,No,,,,Others,no,Yes,1,No,,Others,,,,,,No,,No,,Church,,2006,1,Often,exmass,1,"[""None of the above""]",No Involvement,Others,no,no
