id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,,,,,,,,,,,,,,,,,,,
5056,2019-05-13 09:33:57,Water,Over Ground Tanks,tilling saha,Government,In Use,Lower Subansiri,Ziro,Michi,27.5705,93.8283,Approved,https://smartvillage.imagetrekk.com/storage/images/ufHo54MKqe2GCheo6SFLluUvWgfhmoCOHfOkpVIh.jpeg?asset_id=5056,ground tank - michi akang,Pakka Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support""]",None,,Yes,>7,Concrete,No,1000,Cement Slabs,1,2,No,Irregular,,,,,,,,,,,,,,,,,,,
5095,2019-05-13 14:28:07,Water,Over Ground Tanks,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Keiliya,27.63833,93.91137,Approved,https://smartvillage.imagetrekk.com/storage/images/MKXDQOlM5TuhPXx75e2UUoDSVlqGjTdpZ40SDAWD.jpeg?asset_id=5095,water tank keliya 2,Footway,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,Yes,>7,Concrete,No,20000,Tin sheets,2,2,No,Irregular,,,,,,,,,,,,,,,,,,,
5230,2019-05-13 19:38:15,Water,Over Ground Tanks,padi tara,Government,In Use,Lower Subansiri,Ziro,Reru,27.60118,93.8452,Approved,https://smartvillage.imagetrekk.com/storage/images/UMrto3ud0b57wApRomINjP8WdUFtoLcxBVLIkuYi.jpeg?asset_id=5230,water tank Reru,Footway,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",None,,Yes,>7,Steel,No,300,Cement Slabs,1,1,No,Yearly,,,,,,,,,,,,,,,,,,,
5546,2019-05-16 04:19:48,Water,Over Ground Tanks,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.5756,93.831,Approved,https://smartvillage.imagetrekk.com/storage/images/JdNsOB6geaQ6DSa1ltIf4ynzg8Yc6jYhMHPk3Dcm.jpeg?asset_id=5546,Tadu village water tank not in use,Kacha Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,Yes,1000,Tin sheets,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
5571,2019-05-16 04:37:09,Water,Over Ground Tanks,tage tajung,Community,Ir-repairable,Lower Subansiri,Ziro,Modang Tage,27.57041,93.83185,Approved,https://smartvillage.imagetrekk.com/storage/images/VQ6KjgXugeVDvePziSrpegr7loWQogK1h9XklMkF.jpeg?asset_id=5571,Community covered storage water tank,Kacha Road,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,1000,Cement Slabs,2,1,No,Never,,,,,,,,,,,,,,,,,,,
5694,2019-05-17 04:21:02,Water,Over Ground Tanks,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58658,93.8453,Approved,https://smartvillage.imagetrekk.com/storage/images/FDc37VnCtf3CF6hFLeBJFNVUPTRnBVPnrXO02rsA.jpeg?asset_id=5694,rantii ali tank,Kacha Road,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,No,,Concrete,No,6000,Tin sheets,3,1,No,Never,,,,,,,,,,,,,,,,,,,
5696,2019-05-17 07:36:26,Water,Over Ground Tanks,nabam banio,Government,In Use,Papumpare,Itanagar,Ganga,27.08625,93.60484,Approved,https://smartvillage.imagetrekk.com/storage/images/wZrFz1KyuSvbsb7zf2UWMjGVg4mbZWAB6GT7AzGB.jpeg?asset_id=5696,good,Kacha Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,80000,Cement Slabs,3,More than 4,No,Irregular,,,,,,,,,,,,,,,,,,,
5780,2019-05-20 03:01:36,Water,Over Ground Tanks,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.5834,93.84717,Approved,https://smartvillage.imagetrekk.com/storage/images/oS3KaoFXmuMYzF9OJSBv3EujdWpEPWUYyZR68L3J.jpeg?asset_id=5780,tank,Kacha Road,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support""]",Discarded in Open Field,,No,,Concrete,No,15000,Tin sheets,2,1,No,Irregular,,,,,,,,,,,,,,,,,,,
5792,2019-05-20 08:42:54,Water,Over Ground Tanks,administrator,Government,In Use,Lower Subansiri,Ziro,Hari,27.57868,93.84805,Approved,https://smartvillage.imagetrekk.com/storage/images/YFpgy1cPXQYXAqLubBNfaBLlHxUXVUum76nylgDL.jpeg?asset_id=5792,water tank,Kacha Road,2G Unreliable,"[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,20,Tin sheets,1,2,No,Irregular,,,,,,,,,,,,,,,,,,,
6003,2019-05-21 12:31:04,Water,Over Ground Tanks,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.5821,93.84337,Approved,https://smartvillage.imagetrekk.com/storage/images/E5cf3tunHjgz8pedbacbGGMwnJ7hdWDgCH7QWtn9.jpeg?asset_id=6003,in used,Pakka Road,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,No,,Concrete,No,20000,Tin sheets,1,1,No,Never,,,,,,,,,,,,,,,,,,,
6067,2019-05-22 07:13:29,Water,Over Ground Tanks,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58385,93.8457,Approved,https://smartvillage.imagetrekk.com/storage/images/FSbrDeCDAupXJGpS07CFFkZjwZQcuOhfAJQ4H1Fp.jpeg?asset_id=6067,"water tank, Dinkhu",Footway,2G Unreliable,"[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,10000,Tin sheets,1,2,No,Irregular,,,,,,,,,,,,,,,,,,,
6113,2019-05-22 19:25:22,Water,Over Ground Tanks,nending tasser,Community,In Use,Lower Subansiri,Ziro,Hari,27.58553,93.84488,Approved,https://smartvillage.imagetrekk.com/storage/images/LKi1i4yd2qZ1BYc1R7mPIdPGdOw5195J3Glu6WlX.jpeg?asset_id=6113,water tank,Footway,2G Unreliable,"[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","[""Vodafone"",""Idea"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,80000,Tin sheets,3,More than 4,No,Irregular,,,,,,,,,,,,,,,,,,,
6202,2019-05-24 13:15:19,Water,Over Ground Tanks,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58419,93.84394,Approved,https://smartvillage.imagetrekk.com/storage/images/ABHoTTdU1xyofXb4VzRTNsKvaQv6HqgOslgbL5VH.jpeg?asset_id=6202,water tank,Pakka Road,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support""]",Discarded in Open Field,,No,,Concrete,No,20000,Cement Slabs,2,1,No,Irregular,,,,,,,,,,,,,,,,,,,
6526,2019-05-27 15:00:19,Water,Over Ground Tanks,tabey,Government,In Use,Shi-Yomi,Monigong,Karle,28.75126,94.32001,Approved,https://smartvillage.imagetrekk.com/storage/images/4l3pB07kUESIUkU0woJrtziHdO7owwTMSCrSZQYW.jpeg?asset_id=6526,constructed by public health engineer department agency,Kacha Road,Nil,,,,,,,"Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",Discarded in Govt. designated structures,,No,,Concrete,Yes,200,Tin sheets,More than 4,4,No,Irregular,,,,,,,,,,,,,,,,,,,
6534,2019-05-27 18:13:33,Water,Over Ground Tanks,tabey,Government,In Use,Shi-Yomi,Monigong,Karle,28.76526,94.40293,Rejected,https://smartvillage.imagetrekk.com/storage/images/Kmq8JRfLNQVWnjKYxwjfctegdzH7yQX5wFs6KSXV.jpeg?asset_id=6534,constructed by public health engineer department of shri tain hemi,Pakka Road,Nil,,,,,,,"Kacha/Temporary(Wood,Bamboo,etc.,)","[""Others ""]",Others,1,No,,Others,Yes,30,Cement Slabs,2,1,No,Never,,,,,,,,,,,,,,,,,,,
6598,2019-05-28 04:19:11,Water,Over Ground Tanks,padi tara,Government,In Use,Lower Subansiri,Ziro,Reru,27.59611,93.8415,Approved,https://smartvillage.imagetrekk.com/storage/images/Mce9wSCTs6ovZjPSaoohHriTLPENJpgnI42OnqB6.jpeg?asset_id=6598,water tank Reru,Footway,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support""]",None,,Yes,>7,Iron,No,2000,Cement Slabs,More than 4,More than 4,No,Irregular,,,,,,,,,,,,,,,,,,,
7091,2019-06-06 13:58:50,Water,Over Ground Tanks,tabey,Government,Not in Use,Shi-Yomi,Monigong,Karle,28.74485,94.30253,Approved,https://smartvillage.imagetrekk.com/storage/images/isU1JUpfSSKBWDWag1VcY6wFf4I0Lcr3DFA52TM5.jpeg?asset_id=7091,water connection yet to be done,Footway,2G Unreliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,6000,Cement Slabs,1,1,No,Never,,,,,,,,,,,,,,,,,,,
7092,2019-06-06 13:58:50,Water,Over Ground Tanks,tabey,Government,Not in Use,Shi-Yomi,Monigong,Karle,28.74489,94.30264,Approved,https://smartvillage.imagetrekk.com/storage/images/LEWzwRcHLmHKNshklbdkNZELR1TEMifzTmWaQn2J.jpeg?asset_id=7092,yet to be completed,Kacha Road,2G Unreliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,2500,None,1,1,No,Never,,,,,,,,,,,,,,,,,,,
7163,2019-06-07 09:08:55,Water,Over Ground Tanks,tilling saha,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.5738,93.82966,Approved,https://smartvillage.imagetrekk.com/storage/images/yDp78ivpkcgdqMwvkIEzgXQJZc8345uqgFW05vmz.jpeg?asset_id=7163,over ground tank of mudang tage village,Pakka Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Others "",""Support via Schemes""]",None,,No,,Concrete,No,3000,Cement Slabs,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
7199,2019-06-08 04:42:22,Water,Over Ground Tanks,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.56401,93.84788,Approved,https://smartvillage.imagetrekk.com/storage/images/wOronDhShucpH9ws84gHlRxn3zq4GGM3sNZbhsJW.jpeg?asset_id=7199,hanoko water tank,Kacha Road with Block Point,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,Yes,10000,None,2,1,Yes,Yearly,,,,,,,,,,,,,,,,,,,
7202,2019-06-08 05:05:13,Water,Over Ground Tanks,kago yubbey,Community,Repairable,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55742,93.85075,Approved,https://smartvillage.imagetrekk.com/storage/images/sIldfNtlSHCAX0pspk19oeRBu9eF1hhufrSWpXgA.jpeg?asset_id=7202,not use properly tank,Footway,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,No,,Concrete,No,1500,None,1,1,No,Others,,,,,,,,,,,,,,,,,,,
7226,2019-06-08 23:25:50,Water,Over Ground Tanks,kago yubbey,Community,Repairable,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55729,93.85055,Approved,https://smartvillage.imagetrekk.com/storage/images/GIDoHO4wHYVVzwF2wHOmUjYSPrfxhXfAAUxRgPaU.jpeg?asset_id=7226,not use properly tank,Footway,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",None,,No,,Bamboo,No,1000,PVC sheets,1,1,No,Others,,,,,,,,,,,,,,,,,,,
7263,2019-06-09 11:19:49,Water,Over Ground Tanks,taakhe rakesh,Private,In Use,Lower Subansiri,Ziro,Hong,27.55701,93.84632,Approved,https://smartvillage.imagetrekk.com/storage/images/mRNtgAOkUlwri4U40hbL2kaQXpSM9hWjjBBtDz1r.jpeg?asset_id=7263,hari sukung water tank,Footway,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Others ""]",Discarded in Open Field,,No,,Concrete,No,50000,None,1,1,No,Yearly,,,,,,,,,,,,,,,,,,,
7266,2019-06-09 11:21:45,Water,Over Ground Tanks,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.55763,93.84652,Approved,https://smartvillage.imagetrekk.com/storage/images/b9Jg9cqeFCCQ9eGhCsHo3NlFMwWX1qhGAHxIcozh.jpeg?asset_id=7266,water tank hibu,Kacha Road,3G Unreliable,"[""Vodafone"",""Airtel"",""BSNL"",""Idea""]","[""Vodafone"",""Airtel"",""BSNL"",""Idea""]","[""Vodafone"",""Airtel"",""BSNL"",""Idea""]","[""Vodafone"",""Airtel"",""BSNL"",""Idea""]","[""Vodafone"",""Airtel"",""BSNL"",""Idea""]","[""Vodafone"",""Airtel"",""BSNL"",""Idea""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,Yes,6,Concrete,No,55000,Cement Slabs,2,2,No,Yearly,,,,,,,,,,,,,,,,,,,
