id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,,,,,,,,,,,,,,,,,,,
1218,2019-02-17 01:19:08,Water,Over Ground Tanks,hungo tesia,Government,In Use,Tirap,Khonsa,Lapnan,26.98897,95.48419,Approved,https://smartvillage.imagetrekk.com/storage/images/HqfkLRYMqQ0Z911f1uNzOaTqiWPxHgqjj1t9pLqE.jpeg?asset_id=1218,water tank,Pakka Road,4G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",None,,No,,Concrete,No,500,Tin sheets,2,2,No,Never,,,,,,,,,,,,,,,,,,,
1227,2019-02-17 02:49:55,Water,Over Ground Tanks,kamchi techi,Government,In Use,Changlang,Changlang,Changlang (CT),27.13554,95.72561,Rejected,https://smartvillage.imagetrekk.com/storage/images/c5gSPuQ9LI8tGpaejnP8UgD2gnI9Ja3HG1zVMtq2.jpeg?asset_id=1227,laktong village,Kacha Road with Block Point,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support"",""Technical Support""]",None,,No,,PVC,Yes,1000,PVC sheets,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
1310,2019-02-20 10:10:05,Water,Over Ground Tanks,ngilyang nobin,Government,In Use,Lower Subansiri,Ziro,Tajang,27.60826,93.83247,Approved,https://smartvillage.imagetrekk.com/storage/images/ujLjSXvj8KzXUHEGRB8MZWg0piPBv16VKqFwGmNY.jpeg?asset_id=1310,12,Pakka Road,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Technical Support"",""Financial Support"",""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,5000,PVC sheets,2,2,No,Yearly,,,,,,,,,,,,,,,,,,,
1507,2019-02-24 07:25:41,Water,Over Ground Tanks,tabey chijey,Government,In Use,Shi-Yomi,Monigong,Karle,28.74324,94.30217,Approved,https://smartvillage.imagetrekk.com/storage/images/TogF2JKsLwXIDxd2byqfIxmMF2RMSOTcB1PBCap8.jpeg?asset_id=1507,could be recreated as doesn't meet the needs of the population of the village,Footway,2G Unreliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,4000,Tin sheets,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
1513,2019-02-24 07:26:55,Water,Over Ground Tanks,tabey chijey,Government,Not in Use,Shi-Yomi,Monigong,Karle,28.74012,94.30607,Approved,https://smartvillage.imagetrekk.com/storage/images/qaD1od2V8sbRrYWAj1AgCc09nSOs5O6OiexBq6v7.jpeg?asset_id=1513,as water doesn't reach the tank and is repairable.,Kacha Road,2G Unreliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,Yes,10000,PVC sheets,1,1,No,Never,,,,,,,,,,,,,,,,,,,
1514,2019-02-24 07:27:03,Water,Over Ground Tanks,tabey chijey,Government,Not in Use,Shi-Yomi,Monigong,Karle,28.74393,94.30484,Approved,https://smartvillage.imagetrekk.com/storage/images/4UkmpSNaEN8oQ94I1tpNQITMi9YRXKTRLWT0EHhi.jpeg?asset_id=1514,not is used due to irregular maintainence,Kacha Road,2G Unreliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",Mixes with the near by Water Bodies,,No,,Concrete,No,4000,Tin sheets,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
1516,2019-02-24 07:27:20,Water,Over Ground Tanks,tabey chijey,Government,Not in Use,Shi-Yomi,Monigong,Karle,28.73989,94.30899,Approved,https://smartvillage.imagetrekk.com/storage/images/4s0WXOW6OX4DlPgIMKKfBp72htuuWm4ihORoMRCQ.jpeg?asset_id=1516,over ground tank as the head over tank has been damaged by natural disaster,Footway,2G Unreliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]",Discarded in Open Field,,No,,Concrete,Yes,700,Tin sheets,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
1695,2019-02-27 02:25:21,Water,Over Ground Tanks,talen mibang,Community,Not in Use,East Siang,Oyan,Murali,27.89459,95.30732,Rejected,https://smartvillage.imagetrekk.com/storage/images/bYVP50ddBBbjyFhepCWrSswx97b3E78GgFLUJRHz.jpeg?asset_id=1695,app test,Kacha Road,3G Reliable,"[""Airtel"",""BSNL"",""Others""]","[""Airtel"",""BSNL"",""Others""]","[""Airtel"",""BSNL"",""Others""]","[""Airtel"",""BSNL"",""Others""]","[""Airtel"",""BSNL"",""Others""]","[""Airtel"",""BSNL"",""Others""]","Pakka/Permenant(Steel,Concrete,etc.,)Galvanized steel","[""None""]",6:00am-5:00pm,"[""None "",""Support via Schemes & Subsidies""]",Discarded in Govt. designated structures,,No,,No,,None,,,,,,,Others,stream water,50,Government,,"[""Concrete"",""Iron"",""Bamboo"",""Rocks""]",No,1,1,Yes,Yes,0,Yes,10,Yearly,Yes
1734,2019-02-27 05:57:57,Water,Over Ground Tanks,makba nasi,Government,In Use,Tirap,Khonsa,Kheti,26.97209,95.50374,Approved,https://smartvillage.imagetrekk.com/storage/images/Jecr4KNnDvBf4T1gKFZYWMfYN2JlQnnLWUZEwby9.jpeg?asset_id=1734,water tank 1,Pakka Road,4G Reliable,"[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","[""Jio"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support""]",None,,Yes,1,Concrete,No,10000,None,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
1735,2019-02-27 06:02:33,Water,Over Ground Tanks,makba nasi,Government,In Use,Tirap,Khonsa,Kheti,26.97224,95.50342,Approved,https://smartvillage.imagetrekk.com/storage/images/HsjEpflBF0nJRFBMsXc02XQVs9CXqFkoA9W9pZlV.jpeg?asset_id=1735,water tank 2,Pakka Road,4G Reliable,"[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","[""Jio"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Financial Support""]",Mixes with the near by Water Bodies,,Yes,1,Steel,Yes,250,Tin sheets,1,1,No,Irregular,,,,,,,,,,,,,,,,,,,
