id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the LPG Dealer/Shop?,How much distance should one travel from this LPG Dealer/Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What are different Mobile network service providers available at the location of this LPG Dealer/Shop?,What is the type of structure of this LPG Dealer/Shop?,What are the working hours of this LPG Dealer/Shop?,What are the working days of that LPG Dealer/Shop?,How many people are working in the LPG Dealer/Shop?,Where do you get drinking water from for using at this LPG Dealer/Shop?,How much do you pay per litre of bottled water?,Are there toilets available for public usage at this LPG Dealer/Shop?,Are there toilets available seperately as per gender at this LPG Dealer/Shop?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from that LPG Dealer/Shop?,What are the other mechanism used to discard the waste from this LPG Dealer/Shop?,Are the premises of this LPG Dealer/Shop cleaned with disinfectant regularly?,How frequently are the premises at this LPG Dealer/Shop cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this LPG Dealer/Shop?,How many hours per day are you facing power cuts at this LPG Dealer/Shop?,What is the alternative energy source available for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,How many hours do you rely on the alternative energy source in a day for that LPG Dealer/Shop?,Is there landline connectivity for that LPG Dealer/Shop?,What is the number with STD Code?,Does this LPG Dealer/Shop have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this LPG Dealer/Shop?,What are other type of book keeping methods used in the LPG Dealer/Shop?,What are the areas the LPG Dealer/Shop gets support from government agencies?,Do you get any support from NGO(s) for this LPG Dealer/Shop?,From what Organization(s) did you get support?,Are you using any digital technologies that can be used in the LPG Dealer/Shop?,What purpose are you using digital tools here at this LPG Dealer/Shop?,Is Home delivery service available?,Do you charge extra for that?,Is there Telephone booking facility available?,Is there any fire equipment in the centre?,Are the Employees sufficient in the shop?
4210,2019-05-10 01:30:50,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60472,93.8515,Rejected,https://smartvillage.imagetrekk.com/storage/images/JA449hvD3ZGwD0okiCQwlkrhqUwuYY4AphZ2jXz9.jpeg?asset_id=4210,taru shop 1,1,Pakka Road,2,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4217,2019-05-10 01:31:07,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.56225,93.88143,Rejected,https://smartvillage.imagetrekk.com/storage/images/QDDNyreUYBqgycCvFrMDZv1JF2sbcLS5iR461MFm.jpeg?asset_id=4217,nada shop 2,1,Pakka Road,2,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)",5:0 to 17:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4220,2019-05-10 01:31:19,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.59233,93.82356,Approved,https://smartvillage.imagetrekk.com/storage/images/9RBOTqCUJrCkrMvgM91SybDoKfjf3gJDs1HTgFQI.jpeg?asset_id=4220,nada shop 1,1,Pakka Road,2,2G Reliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)",5:0 to 17:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4249,2019-05-10 01:32:50,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.61003,93.84352,Rejected,https://smartvillage.imagetrekk.com/storage/images/oSNQMfbn7aL2Qd7AyKlVLeNWSQmqROrzKsxCH7hr.jpeg?asset_id=4249,nenchaya shop 2,1,Pakka Road,1,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)",5:0 to 17:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday"",""Sunday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4494,2019-05-10 12:28:15,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.58879,93.83354,Approved,https://smartvillage.imagetrekk.com/storage/images/9leONjBlIL9QIf5fawODjtNUtln5Nkfay9JQN7BI.jpeg?asset_id=4494,kago shop 4,1,Pakka Road,2,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,7,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4495,2019-05-10 12:28:23,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60118,93.83952,Approved,https://smartvillage.imagetrekk.com/storage/images/Cpt15zOusifxWvcs0xX5XFDtJ4gDi8SFxnTIDhl3.jpeg?asset_id=4495,kago shop 3,1,Pakka Road,2,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,7,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4496,2019-05-10 12:28:40,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.52861,93.8515,Approved,https://smartvillage.imagetrekk.com/storage/images/vcYeqGrPPmSFKPnlWNxfzh05eDNV3AWD4efH6cmu.jpeg?asset_id=4496,kago shop,1,Pakka Road,2,2G Reliable,"[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","[""BSNL"",""Airtel"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4498,2019-05-10 12:29:34,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60472,93.86547,Rejected,https://smartvillage.imagetrekk.com/storage/images/aEzA1s64XjI1fhSOfPzvCrC5WWnUN5PwnwbId8a8.jpeg?asset_id=4498,kago shop 1,1,Pakka Road,2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Tuesday"",""Monday"",""Thusday"",""Wednesday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4501,2019-05-10 12:30:20,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60649,93.82955,Rejected,https://smartvillage.imagetrekk.com/storage/images/7frDKBA8p9T0OjDheL9ppXAjDp9VAxC2JUfsIkDH.jpeg?asset_id=4501,dani shop 4,1,Pakka Road,2,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4504,2019-05-10 12:30:50,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.60472,93.86547,Rejected,https://smartvillage.imagetrekk.com/storage/images/lG9PgbUBvGEjSCYpcYlZjs08eeEVTAs9tPPvrCK9.jpeg?asset_id=4504,kago shop 1,1,Pakka Road,2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Tuesday"",""Monday"",""Thusday"",""Wednesday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,More than 7 times,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
4510,2019-05-10 12:34:04,Food & Civil Supplies,LPG Dealer/Shop,bullo tatung,Private,In Use,Lower Subansiri,Ziro,Hija,27.6118,93.83354,Rejected,https://smartvillage.imagetrekk.com/storage/images/CmTT27qarL1qZiHTnTrGi20BK2dHce9aqARCm439.jpeg?asset_id=4510,dani shop 3,1,Pakka Road,2,2G Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 18:0,"[""Sunday"",""Saturday"",""Friday"",""Thusday"",""Wednesday"",""Tuesday"",""Monday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,7,No,,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,No,No,Yes
