id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,The Overhead water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank?,Are there any devices connected to see the water level?,What is the frequency of technical maintenance or safety audit ?
1772,2019-02-28 02:12:26,Water,Over Head Tanks,omem lego,Government,In Use,East Siang,Oyan,Rani,27.97043,95.32813,Approved,https://smartvillage.imagetrekk.com/storage/images/9Rc6d1Sg8iV8BPIu9ed2FJHalPsbVDX0VlmFDeTt.jpeg?asset_id=1772,"OVER HEAD TANK NEAR(GOVT.SEC.SCHOOL,RANI)",Kacha Road,4G+ Reliable,"[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""Others""]",Discarded in Open Field,,Yes,2,Steel,Yes,35000,3,1,No,Monthly
1773,2019-02-28 02:25:18,Water,Over Head Tanks,omem lego,Government,Not in Use,East Siang,Oyan,Rani,27.96154,95.31223,Approved,https://smartvillage.imagetrekk.com/storage/images/LjzM4D5iUJyr37vzdhGcFR8MhkULNRzMIoS9bAhY.jpeg?asset_id=1773,OVER HEAD TANK(RANI-1),Pakka Road,4G+ Reliable,"[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""None""]",None,,No,,Steel,No,62500,3,1,No,Never
1784,2019-02-28 02:52:51,Water,Over Head Tanks,omem lego,Government,In Use,East Siang,Oyan,Rani,27.96654,95.31391,Approved,https://smartvillage.imagetrekk.com/storage/images/5z4uj200er3gihv9zZrWFHKcWzmI6HfWmetxJPcJ.jpeg?asset_id=1784,OVER HEAD TANK (RANI-2),Kacha Road,4G+ Reliable,"[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","[""Airtel "",""Jio "",""Other ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Others""]",Discarded in Open Field,,Yes,3,Concrete,No,20000,2,1,No,Monthly
1870,2019-03-01 01:44:40,Water,Over Head Tanks,taru haku,Government,In Use,Lower Subansiri,Ziro,Hija,27.58571,93.82611,Approved,https://smartvillage.imagetrekk.com/storage/images/Jga71ucVRCN5poikESAAM2mJNGWcCelnjwGMNMwN.jpeg?asset_id=1870,water tank 1,Pakka Road with Block Point,3G Unreliable,"[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Support via Schemes""]",Mixes with the near by Water Bodies,,No,,Concrete,No,20000,2,2,No,Yearly
2078,2019-03-04 09:44:42,Water,Over Head Tanks,kago yubbey,Government,In Use,Lower Subansiri,Ziro,Hong,27.55843,93.84816,Approved,https://smartvillage.imagetrekk.com/storage/images/mk9lKEvfFBLnSUq4dLPVZ57GUJApU8kBmeocJh7T.jpeg?asset_id=2078,PHED water tank,Pakka Road,3G Reliable,"[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Financial Support"",""Technical Support""]",Mixes with the near by Water Bodies,,No,,Concrete,No,20000,>4,>4,No,Other
2513,2019-03-17 08:56:14,Water,Over Head Tanks,binam jomang,Government,Not in Use,Namsai,Lekang,Old Mohang,27.56354,95.88044,Approved,https://smartvillage.imagetrekk.com/storage/images/SsCm0yBZxf2lVbnLNKlSE5uMhjO2pwNqk8alLNxY.jpeg?asset_id=2513,over head tank,Pakka Road,4G Unreliable,"[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","[""Vodafone "",""Airtel "",""Idea "",""Jio ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]","[""None""]",Discarded in Open Field,,No,,Iron,No,2500,3,1,No,Yearly
2570,2019-03-21 07:20:49,Water,Over Head Tanks,shri joram nera,Private,In Use,Lower Subansiri,Yachuli,Jara,27.52523,93.76877,Approved,https://smartvillage.imagetrekk.com/storage/images/7bL8NJi2wR3OgjTk0u0cSP8a63UZVGIi9K9I6FAt.jpeg?asset_id=2570,private tank at Korashi segment.,Kacha Road,4G Unreliable,"[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""None""]",Discarded in Open Field,,No,,Concrete,No,500,1,2,No,Yearly
2609,2019-03-24 09:36:59,Water,Over Head Tanks,joram temin,Government,In Use,Lower Subansiri,Yachuli,Toon,27.46995,93.77742,Approved,https://smartvillage.imagetrekk.com/storage/images/Fv1eWYnbi2diGZ0yLJRuFefK96RVQxWO8XkvuAq8.jpeg?asset_id=2609,over head tanks,Pakka Road with Block Point,3G Reliable,"[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Support via Schemes""]",Mixes with the near by Water Bodies,,Yes,1,Concrete,No,5000,>4,>4,No,Yearly
2610,2019-03-24 10:22:40,Water,Over Head Tanks,joram temin,Government,In Use,Lower Subansiri,Yachuli,Toon,27.46422,93.77342,Approved,https://smartvillage.imagetrekk.com/storage/images/4sgbDB3z2rr10yd8MsHdZQDPgfqjGLMU69xjD8wP.jpeg?asset_id=2610,overhead water tanks,Footway,3G Reliable,"[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Support via Schemes""]",Mixes with the near by Water Bodies,,Yes,1,Concrete,No,3000,3,3,No,Yearly
3258,2019-05-04 01:35:35,Water,Over Head Tanks,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58334,93.84589,Approved,https://smartvillage.imagetrekk.com/storage/images/q3AVim8YHkgsLUJ1LzrYZYUDltxStwO7nFqR9t3F.jpeg?asset_id=3258,public water tank,Kacha Road,2G Unreliable,"[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""None""]",Discarded in Open Field,,No,,Concrete,No,10000,>4,>4,No,Irregular
3325,2019-05-05 07:52:49,Water,Over Head Tanks,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58138,93.84125,Approved,https://smartvillage.imagetrekk.com/storage/images/lKpBK5rMtUK2X58ve4SqbWWYcWSl3I16Vahxcm0a.jpeg?asset_id=3325,megyang tank,Pakka Road,2G Unreliable,"[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""None""]",Discarded in Open Field,,No,,Concrete,No,8000,>4,1,No,Irregular
3827,2019-05-08 05:17:09,Water,Over Head Tanks,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58378,93.8442,Approved,https://smartvillage.imagetrekk.com/storage/images/vqTijxoXRGmFN3XfoeIZbmkqmFqjjWyZGTAzVHhk.jpeg?asset_id=3827,landi sukung,Pakka Road,2G Unreliable,"[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","[""Vodafone "",""Airtel ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""Financial Support""]",Discarded in Open Field,,No,,Concrete,No,7000,2,1,No,Irregular
4291,2019-05-10 04:40:30,Water,Over Head Tanks,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58373,93.84135,Approved,https://smartvillage.imagetrekk.com/storage/images/GF8lM3Lk0vcDhbsIkOZvVG3Yfqxvz2PNVbRMckJd.jpeg?asset_id=4291,tank 3,Pakka Road,2G Unreliable,"[""Vodafone "",""Airtel "",""Other ""]","[""Vodafone "",""Airtel "",""Other ""]","[""Vodafone "",""Airtel "",""Other ""]","[""Vodafone "",""Airtel "",""Other ""]","[""Vodafone "",""Airtel "",""Other ""]","[""Vodafone "",""Airtel "",""Other ""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""None""]","[""None""]",Discarded in Open Field,,No,,Concrete,No,10000,>4,>4,No,Irregular
