id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the Shop?,How much distance should one travel from this Shop to avail public transport facility? (in K.M),What is the type of the mobile network available at the Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What are different Mobile network service providers available at the location of this Shop?,What is the type of structure of this Shop?,What are the working hours of this Shop?(Ex: 9.00A.M-5.A.M),What are the working days of that Shop?,How many people are working in the Shop?,Where do you get drinking water from for using at this Shop?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available for public usage at this Shop?,Are there toilets available seperately as per gender at this Shop?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from that Shop?,What are the other mechanism used to discard the waste from this Shop?,Are the premises of this Shop cleaned with disinfectant regularly?,How frequently are the premises at this Shop cleaned with disinfectant in a week?,Do you have grid connection for energy supply for this Shop?,How many hours per day are you facing power cuts at this Shop?,What is the alternative energy source available for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,How many hours do you rely on the alternative energy source in a day for that Shop?,Is there landline connectivity for that Shop?,What is the number with STD Code,Does this Shop have wired internet connection?,How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS),How do you maintain records for this Shop?,What are other type of book keeping methods used in the Shop?,What are the areas the Shop gets support from government agencies?,Do you get any support from NGO(s) for this Shop?,From what Organization(s) did you get support?,Are you aware of digital technologies that can be used in the Shop?,For what purpose are you using digital tools here at this Shop?,Do you have a POS device in your shop?,Does the POS device function smoothly?,From where the goods are brought to the shop?,What other types of services are provided?,How are the goods transported to the shop?
3408,2019-05-05 14:09:32,Food & Civil Supplies,Shops,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57184,93.83872,Approved,https://smartvillage.imagetrekk.com/storage/images/oyGvxVto1Ud0gKo3oMT8aRriFf6mBLtnARzz1MpB.jpeg?asset_id=3408,Saturday market for Mudang Tage village.,5,Pakka Road,5,3G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)",9:0 to 5:0,"[""Saturday""]",100,Tap Water from Government,,Yes,Yes,Yes,No,Burnt within the premises,,Yes,2,Yes,2,Others,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,"clothes, house utensils and vegetables","[""Rental Vehicle""]"
3587,2019-05-06 10:24:28,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53744,91.71982,Approved,https://smartvillage.imagetrekk.com/storage/images/zR98GxEOyP6OtTxmDUy6vly6XqfvWiPgFVlBj4Jb.jpeg?asset_id=3587,shop,5,Pakka Road,0.2,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,4,Yes,2,Invertor,2,2,2,2,2,2,No,,No,,Traditional Book Keeping,,"[""None""]",No,,Yes,"[""Accounts""]",No,,Whole Seller,no,"[""Rental Vehicle""]"
3589,2019-05-06 10:24:37,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53763,91.72048,Approved,https://smartvillage.imagetrekk.com/storage/images/2CRiFYWoFKt52cnyyKvtl9IyCcGTQwNwEiPF7zgP.jpeg?asset_id=3589,shop,5,Pakka Road,0.2,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:45 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,4,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,no,"[""Rental Vehicle""]"
3590,2019-05-06 10:24:39,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.5379,91.72037,Approved,https://smartvillage.imagetrekk.com/storage/images/EQPPR52Q8JvUP0psdIXxgD6M1NfWHqjj8MI3A38z.jpeg?asset_id=3590,shop,3,Pakka Road,0.1,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 6:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,3,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,hardware,"[""Rental Vehicle""]"
3591,2019-05-06 10:24:39,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.5377,91.72052,Approved,https://smartvillage.imagetrekk.com/storage/images/b4eozUKQqg1we9abjjprnXgXXq0NOmNMLAdRB5xq.jpeg?asset_id=3591,shop,5,Pakka Road,0.1,4G Unreliable,"[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","[""Airtel"",""BSNL"",""Vodafone""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 6:30,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,4,Yes,3,Invertor,3,3,3,3,3,3,Yes,914000000000,No,,Traditional Book Keeping,,"[""None""]",No,,No,[],No,,Whole Seller,no,"[""Rental Vehicle""]"
3592,2019-05-06 10:24:43,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53986,91.72866,Approved,https://smartvillage.imagetrekk.com/storage/images/QOO5AfJDtXR6zmeS9Deslngs8CrYmFFO5oZZGe9z.jpeg?asset_id=3592,shop,2,Pakka Road,0.25,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,3,Yes,1,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Whole Seller,traditional goods,"[""Rental Vehicle""]"
3594,2019-05-06 10:24:45,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53818,91.72821,Approved,https://smartvillage.imagetrekk.com/storage/images/iwuulrIbT0bp4Bt4PWKk1wQuJAFFuyJ8lfAibxeM.jpeg?asset_id=3594,shop,4,Pakka Road,0.3,4G Unreliable,"[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","[""Airtel"",""Vodafone"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",7:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",2,Tap Water from Government,,Yes,No,Yes,Yes,Burnt within the premises,,Yes,4,Yes,1,Invertor,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,no,"[""Rental Vehicle""]"
3595,2019-05-06 10:24:47,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53758,91.72022,Approved,https://smartvillage.imagetrekk.com/storage/images/VrbkLC4vTvlmOFZ2GLA45JdyiIezqcFdPFvN3m03.jpeg?asset_id=3595,shop,3,Pakka Road,0.2,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,3,Yes,1,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Whole Seller,no,"[""Rental Vehicle""]"
3596,2019-05-06 10:24:50,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53679,91.71943,Approved,https://smartvillage.imagetrekk.com/storage/images/CURL8jm4BmsVhhahtxMA9oki1DdhJTX8hkGtZvLP.jpeg?asset_id=3596,shop,5,Pakka Road,0.8,4G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",2,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,4,Yes,1,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,no,"[""Load Carriage"",""Rental Vehicle""]"
3597,2019-05-06 10:24:50,Food & Civil Supplies,Shops,tenjin yeshii,Private,In Use,Tawang,Lumla,Manpat,27.53767,91.72021,Approved,https://smartvillage.imagetrekk.com/storage/images/fLAt7Q9Ua8ZcCUk6pXLnlAB2bKr05NuXiGB25Twr.jpeg?asset_id=3597,shop,5,Pakka Road,0.1,4G+ Reliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",8:0 to 6:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday""]",1,Tap Water from Government,,No,,,,Burnt within the premises,,Yes,4,Yes,1,Invertor,1,1,1,1,1,1,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,no,"[""Rental Vehicle""]"
3653,2019-05-06 12:41:55,Food & Civil Supplies,Shops,nending tasser,Private,In Use,Lower Subansiri,Ziro,Hari,27.58507,93.84354,Approved,https://smartvillage.imagetrekk.com/storage/images/RNGBJWbKuxIqS1Tm7mpjKCVgGBUT3mfiQ7OZbtWq.jpeg?asset_id=3653,shop 2,1,Pakka Road,3,2G Unreliable,"[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","[""Vodafone"",""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 21:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",2,Tap Water from Government,,No,,,,Discarded in Open Field,,Yes,4,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""None""]",No,,No,,No,,Whole Seller,no services,"[""Rental Vehicle""]"
3666,2019-05-07 08:51:55,Food & Civil Supplies,Shops,hibu yagam,Private,In Use,Papumpare,Doimukh,Chiputa,27.18296,93.77988,Approved,https://smartvillage.imagetrekk.com/storage/images/PH9khYvRjToKhIQKOvuPI6cTFRHNlYzNUwjXNqaU.jpeg?asset_id=3666,shop chiputa,3,Kacha Road,7,4G+ Reliable,"[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","[""Vodafone"",""Airtel"",""BSNL"",""Jio""]","Pakka/Permenant(Steel,Concrete,etc.,)",6:0 to 19:0,"[""Monday"",""Tuesday"",""Wednesday"",""Thusday"",""Friday"",""Saturday""]",1,Tap Water from Government,,No,,,,Discarded in Open Field,,Yes,7,No,,None,,,,,,,No,,No,,None,,"[""None""]",No,,No,,No,,Whole Seller,mobile recharge,"[""Private Car""]"
