id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,Does this electricity pole also have telephone lines ?,What is the electricity pole made of ?,What is the frequency of maintenance or safety audit ?,Are the wires insulated ?
2413,2019-03-14 10:00:00,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87796,95.32085,Approved,https://smartvillage.imagetrekk.com/storage/images/BS22ymKQEMhZWPDvFp2Hl3W8XUp3MrjswXVKek4b.jpeg?asset_id=2413,Electricity Pole -191,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2414,2019-03-14 10:01:23,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87791,95.3211,Approved,https://smartvillage.imagetrekk.com/storage/images/qs1cNXIkYQ9CfmK3B0V0SeAFZI1YjZKNmhQs9SJ5.jpeg?asset_id=2414,Electricity Pole -192,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2415,2019-03-14 10:02:59,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87778,95.32135,Approved,https://smartvillage.imagetrekk.com/storage/images/T5jEVoYJVTG0oQMoa4Cubhbu0F39jvgv6y0w47oC.jpeg?asset_id=2415,Electricitu Pole -193,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2416,2019-03-14 10:04:21,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87753,95.32156,Approved,https://smartvillage.imagetrekk.com/storage/images/rCkZA0IZEH5kQKbQQJ5OmiuXWmmdANa4RayAaD6l.jpeg?asset_id=2416,Electricity Pole -194,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2417,2019-03-14 10:05:41,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87749,95.32176,Approved,https://smartvillage.imagetrekk.com/storage/images/JjhafOvydcitxclJgTLgQ9j10PEnYuWa9hfZlZlW.jpeg?asset_id=2417,Electricity Pole -195,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2418,2019-03-14 10:11:42,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87709,95.32235,Approved,https://smartvillage.imagetrekk.com/storage/images/3V5xLjOtBGs8pZFJHJYXVzHpqgOUEL0TMJ78VRHI.jpeg?asset_id=2418,Electricity Pole -196,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2421,2019-03-14 10:12:48,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87721,95.32239,Approved,https://smartvillage.imagetrekk.com/storage/images/WBAkFGGzkhwYQYeGo2yIDwyOPR4jltFNocIAq4nd.jpeg?asset_id=2421,Electricity Pole -197,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2422,2019-03-14 10:14:12,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87717,95.32271,Approved,https://smartvillage.imagetrekk.com/storage/images/1yWNxWCKlgEKt5VbhI3BzdKN6mDA5cubwPVBsViA.jpeg?asset_id=2422,Electricitu Pole -198,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2423,2019-03-14 10:16:23,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87692,95.32302,Approved,https://smartvillage.imagetrekk.com/storage/images/FOiN5s1MVT8sbCJ1uf8sy90124fPbt80BXMEVYeF.jpeg?asset_id=2423,Electricity Pole -199,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
2424,2019-03-14 10:17:41,Energy & ICT,Electricity Pole,ainai mize,Government,In Use,East Siang,Oyan,Oyan Village,27.87698,95.32346,Approved,https://smartvillage.imagetrekk.com/storage/images/nGrQLa2x0PkzhM1n5Twc1atexFawDzmOobM1F96d.jpeg?asset_id=2424,Electricity Pole -200,Pakka Road,4G Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]",No,"[""Steel""]",Monthly,Yes
