id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What is the type of security available for the asset?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,How do you deal with the waste generated from this asset?,What are the other mechanism used to discard the waste?,Do you have grid connection for energy supply?,How many hours do you face power cuts in a day?,What is the alternative energy source available in case of power failure from regular supplier for that asset?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,How many hours in a day do you use alternate energy resource?,Do you have landline connectivity for telephone?,What is the number with STD Code,Do you have wired internet connection?,How much speed can you get through the broadband?,How do you maintain records of operations?,What other recording mechanisms do you use in the asset?,What are the areas you get support from government agencies (not for costumers)?,Do you get any support from NGO(s)?,From what Organization(s) did you get support?,How many hours on average do you apply load shedding per day meaning facing Brown Outs?,How many hours are you facing power cuts on average per day meaning black outs?,How do you record hours of load shedding and blackouts?,How are staff trained to handle transformers ?,What type of substation is this?,What is the type of operating voltage?,What is the number of transformers linked to the substation ?,What are the issues pertaining to maintenance to ensure technical functionality ?,Do you use smart metering ?,What are the categories of customers availing power from this substation?,What is the source of power to the asset?,What is the minimum distance to the nearest grid connected Solar PV Power generating station?,Where is the nearest Off grid Solar PV generating station ?,How many times has there been maintenance or safety audits in the last year ?
3322,2019-05-05 07:49:14,Energy & ICT,Electrical Substation,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58127,93.84119,Approved,https://smartvillage.imagetrekk.com/storage/images/hbmzKQ439D8K98KP1zCnPuMaUBEwTLE9Q16yHEzU.jpeg?asset_id=3322,megyang substation,1,Kacha Road,2,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Watchman""]",1,0,Discarded in Open Field,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Technical Support""]",No,,0-4hrs,0-4hrs,No records,"[""By the Department ""]","[""Distribution""]",High Voltage,1,"[""Skilled manpower ""]",Yes,"[""Households ""]","[""Hydro""]",200,250,3-4 times
3470,2019-05-06 06:48:55,Energy & ICT,Electrical Substation,nending tasser,Government,In Use,Lower Subansiri,Ziro,Hari,27.58938,93.84269,Approved,https://smartvillage.imagetrekk.com/storage/images/IYEdYAGrLmLRTPWE3m5W49SsyONv16I2GmGsFTOs.jpeg?asset_id=3470,deen dayal sub station 1,1,Pakka Road,2,2G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]",1,0,Discarded in Open Field,,Yes,2,None,,,,,,,No,,No,,Traditional Book Keeping,,"[""Technical Support""]",No,,0-4hrs,0-4hrs,Traditional book keeping,"[""By the Department ""]","[""Distribution""]",High Voltage,1,"[""Skilled manpower ""]",Yes,"[""Households "","" Commercial""]","[""Hydro""]",200,250,1-2 times
3632,2019-05-06 11:53:11,Energy & ICT,Electrical Substation,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57334,93.82962,Rejected,https://smartvillage.imagetrekk.com/storage/images/I34imEsZptqumvn8req7rducwL8hWvJopA2sDiEO.jpeg?asset_id=3632,Solar electric pole no (1) provided by power finance corporation limited.,8,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",2,1,Burnt within the premises,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Technical Support"",""Support via Schemes"",""Others""]",No,,0-4hrs,0-4hrs,No records,"[""By the Department ""]","[""Collector""]",Medium Voltage,1000,"[""Training ""]",Yes,"[""Households "",""Others""]","[""Hydro"",""Integrated Solar""]",5,5,Never done
3633,2019-05-06 11:53:27,Energy & ICT,Electrical Substation,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57315,93.82961,Rejected,https://smartvillage.imagetrekk.com/storage/images/nYic7GJUQIiyC1gwlq9fP1jxqk76j6kRJAZVboYO.jpeg?asset_id=3633,Solar electric pole no.(2),8,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",2,1,Burnt within the premises,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes"",""Others""]",No,,0-4hrs,0-4hrs,No records,"[""On the job"",""By the Department ""]","[""Collector""]",Medium Voltage,1000,"[""Training "",""Other""]",Yes,"[""Households ""]","[""Hydro"",""Integrated Solar""]",5,5,Never done
3634,2019-05-06 11:53:51,Energy & ICT,Electrical Substation,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57342,93.82967,Rejected,https://smartvillage.imagetrekk.com/storage/images/nfbpfa0FTXe136Gwk5Epzv4totvUTVLOO4C1bNVW.jpeg?asset_id=3634,Solar electric pole no. (3),8,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",2,1,Burnt within the premises,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Support via Schemes"",""Technical Support""]",No,,0-4hrs,0-4hrs,No records,"[""By the Department "",""On the job""]","[""Collector""]",Medium Voltage,1000,"[""Training ""]",Yes,"[""Households ""]","[""Hydro"",""Integrated Solar""]",5,5,Never done
3635,2019-05-06 11:54:02,Energy & ICT,Electrical Substation,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.57377,93.82961,Rejected,https://smartvillage.imagetrekk.com/storage/images/ZdpZnz77k16SzFpRETOpfFRnZEcwKK8t0z6ywxCw.jpeg?asset_id=3635,Government electric pole no.(4),8,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",2,1,Burnt within the premises,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,0-4hrs,0-4hrs,No records,"[""By the Department "",""On the job""]","[""Collector""]",Medium Voltage,1000,"[""Training ""]",Yes,"[""Households ""]","[""Hydro"",""Integrated Solar""]",5,5,Never done
3636,2019-05-06 11:54:11,Energy & ICT,Electrical Substation,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.5737,93.82977,Rejected,https://smartvillage.imagetrekk.com/storage/images/H1dz1DWlhXRCajUwMKesdmjZDZe7WByckZ2obK5Q.jpeg?asset_id=3636,Government electric pole no. (5),8,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",2,1,Burnt within the premises,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,0-4hrs,0-4hrs,No records,"[""On the job"",""By the Department ""]","[""Collector""]",Medium Voltage,1000,"[""Training ""]",Yes,"[""Households ""]","[""Hydro"",""Integrated Solar""]",5,5,Never done
3637,2019-05-06 11:54:19,Energy & ICT,Electrical Substation,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.57349,93.83031,Rejected,https://smartvillage.imagetrekk.com/storage/images/p61bloJDApqJz4QU9vdrkrjXcM9T5alP02U0dppb.jpeg?asset_id=3637,Government electric pole no.(6),8,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",2,1,Burnt within the premises,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Technical Support"",""Financial Support"",""Support via Schemes""]",No,,0-4hrs,0-4hrs,No records,"[""By the Department "",""On the job""]","[""Collector""]",Medium Voltage,1000,"[""Other"",""Training ""]",Yes,"[""Households ""]","[""Hydro"",""Integrated Solar""]",5,5,Never done
3638,2019-05-06 11:54:29,Energy & ICT,Electrical Substation,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57341,93.83037,Rejected,https://smartvillage.imagetrekk.com/storage/images/77FmTG8aa5ztFDvHaHcsnd39IUmjw8DwgOZhaJEc.jpeg?asset_id=3638,Solar electric pole no (7),8,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",2,1,Burnt within the premises,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Technical Support"",""Support via Schemes""]",No,,0-4hrs,0-4hrs,No records,"[""By the Department "",""On the job""]","[""Collector""]",Medium Voltage,1000,"[""Training ""]",Yes,"[""Households ""]","[""Hydro"",""Integrated Solar""]",5,5,Never done
3639,2019-05-06 11:54:44,Energy & ICT,Electrical Substation,tage tajung,Government,In Use,Lower Subansiri,Ziro,Modang Tage,27.5737,93.83043,Rejected,https://smartvillage.imagetrekk.com/storage/images/Lxl3OZe51LsY7CmDzXpz4Y0Y30EJgcUBKoScOmlS.jpeg?asset_id=3639,Government electric pole no. (8),8,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",2,1,Burnt within the premises,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Financial Support"",""Technical Support"",""Support via Schemes""]",No,,0-4hrs,0-4hrs,No records,"[""By the Department "",""On the job""]","[""Collector""]",Medium Voltage,1000,"[""Training ""]",Yes,"[""Households ""]","[""Hydro"",""Integrated Solar""]",5,5,Never done
3640,2019-05-06 11:55:02,Energy & ICT,Electrical Substation,tage tajung,Community,In Use,Lower Subansiri,Ziro,Modang Tage,27.57388,93.83003,Rejected,https://smartvillage.imagetrekk.com/storage/images/zU0GULuom8AJTDAWHl16UuQCdTrm1m2NhCCcIqQL.jpeg?asset_id=3640,Solar electric pole no. (9),8,Pakka Road,5,3G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Others""]",2,1,Burnt within the premises,,Yes,2,Solar Unit,5,5,5,5,5,5,No,,No,,Traditional Book Keeping,,"[""Technical Support"",""Support via Schemes""]",No,,0-4hrs,0-4hrs,No records,"[""By the Department "",""On the job""]","[""Collector""]",Medium Voltage,1000,"[""Training ""]",Yes,"[""Households ""]","[""Integrated Solar"",""Hydro""]",5,5,Never done
