id	created at (UTC)	category	sub-category	user	type	status	district	circle	village	latitude	longitude	confirmation	Image link	remarks	How many times did you go there until it was open?	What is the type of the road available to the asset?	How much distance should one travel to avail public transport facility? (in K.M)	What is the type of the mobile network available at the asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What are different Mobile network service providers available at the location of this asset?	What is the type of structure of this asset?	What is the type of security available for the asset?	What are the working hours of the facility?(Ex: 9.00A.M-5:00P.M)	What are the working days of the facility?	How many teachers are employed in the facility?	How many support staff are employed in the facility?	Where do you get drinking water from?	How much do you pay per litre of bottled water? (In Rupees)	Are there toilets available for public usage?	Are there toilets available separately as per gender?	Is there running water available in the toilets at this asset?	Is there soap for handwash available at this asset?	How do you deal with the waste generated from the facility?	What are the other mechanism used to discard the waste?	Are the premises cleaned with disinfectant regularly?	How frequently are the premises cleaned with disinfectant in a week?	Do you have grid connection for energy supply?	How many hours per day are you facing power cuts?	What is the alternative energy source available in the facility?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	How many hours do you rely on the alternative energy source in a day?	Do you have landline connectivity	What is the number with STD Code	Do you have wired internet connection?	How much speed can you get through the broadband?(Test in speed test/other website)(Enter in MBPS)	How do you maintain records for operations?	What are the other modes of record keeping?	What are the areas you get support from government agencies for the facility?	What are the areas you get support from government agencies for your students?	Where do you gets textbooks for the children?	What is the total campus area?	Where do you get the curriculum for classes and educational programs?	Are you using digital tools for teaching?	For what purpose are you using these?	Are there checkups or medical facilities available?	What is the frequency of these checkups?	Are there any meals served?	Is the nutritional value monitored?	Is there presence of any recreational/playing material for the kids?	What kind of residential facilities are available?	How many classrooms are there in the institute ?	How many people are enrolled or are students at this asset?	Apart from academics what are the co-curricular activities available for students ?	What is the percentage of drop-outs?	What is the reason for dropouts?	What is the reason for dropouts?	What is the reason for dropouts?	What is the reason for dropouts?	Are there any disaster management courses or drills practice at the institute?	To how many women is this institution providing services?	How many buses go to this asset?	Do the centers get timely supplies of the government goods?	What is the source of the supplies?	For what all materials the government is providing fund ?
4882	2019-05-12 10:13:30	Education	Anganwadi Building	bullo tatung	Government	In Use	Lower Subansiri	Ziro	Keiliya	27.63656	93.83354	Approved	https://smartvillage.imagetrekk.com/storage/images/lY9ZZrELjMasb4heiZ2Vfu1wQhql9mVvopdvYe4M.jpeg?asset_id=4882	keliya anganwadi center	1	Pakka Road	3	2G Reliable	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 12:0	"[""Wednesday "",""Tuesday "",""Monday "",""Thursday "",""Friday ""]"	2	1	Tap Water from Government		No				Discarded in Water Bodies		No		No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	Supplier in other states	40	Supplier in other states	No		No		No		No	None	1	2	"[""Others ""]"	0-10%	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	No	0-5	0	No		"[""Other""]"
5024	2019-05-13 06:35:30	Education	Anganwadi Building	tilling saha	Government	In Use	Lower Subansiri	Ziro	Michi	27.56907	93.82803	Approved	https://smartvillage.imagetrekk.com/storage/images/wGOA6Png0hqgEWTc3vfXAr0TyyjkpAUXP4Fuy6d0.jpeg?asset_id=5024	michi anghanwadi	1	Kacha Road	0.5	3G Reliable	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""Watchman ""]"	8:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	2	1	Tap Water from Government		Yes	No	Yes	Yes	Discarded in Open Field Burnt within the premises		Yes	More than 7 times a week	No		None							No		No		Traditional Book		"[""Financial Support "",""Technical Support"",""Others ""]"	"[""Financial Support "",""Technical Support "",""Others ""]"	Government Agency	1.5	Self-created Others	No		No		Yes	Yes	Yes	Off-site Residential Areas	1	15	"[""Sports"","" Dance "",""Art ""]"	10-20%	"[""Lack of Awareness "",""Others""]"	"[""Lack of Awareness "",""Others""]"	"[""Lack of Awareness "",""Others""]"	"[""Lack of Awareness "",""Others""]"	No	0-5	0	Yes	"[""Government ""]"	"[""Food"",""Books "",""Other""]"
5072	2019-05-13 09:36:51	Education	Anganwadi Building	tassar gukap	Government	In Use	Papumpare	Gumto	Gumto	27.13779	93.80529	Approved	https://smartvillage.imagetrekk.com/storage/images/FLky7o61bLrWrRtFAjiBIsdaGGnhoRCvi2k7kSxT.jpeg?asset_id=5072	table benches and class room building	10	Pakka Road	6	4G+ Reliable	"[""Airtel"",""BSNL"",""Jio""]"	"[""Airtel"",""BSNL"",""Jio""]"	"[""Airtel"",""BSNL"",""Jio""]"	"[""Airtel"",""BSNL"",""Jio""]"	"[""Airtel"",""BSNL"",""Jio""]"	"[""Airtel"",""BSNL"",""Jio""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	6:0 to 5:0	"[""Monday "",""Wednesday "",""Friday "",""Tuesday "",""Thursday ""]"	2	1	Ground Water		No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""None ""]"	"[""Technical Support ""]"	Government Agency	55	Government Agency	No		Yes	Atleast once a month	Yes	Yes	No	Off-site Residential Areas	1	35	"["" Dance ""]"	10-20%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	11-20	0	No	[]	"[""Food""]"
5311	2019-05-14 08:23:48	Education	Anganwadi Building	hibu yagam	Government	In Use	Papumpare	Doimukh	Mani	27.17609	93.77035	Approved	https://smartvillage.imagetrekk.com/storage/images/xvQJ2SCH1vaWYve4fOkAYMHImiZlKKbCWiAiiI13.jpeg?asset_id=5311	anganwadi at mani	1	Kacha Road	1	4G+ Reliable	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 10:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Others		No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	Government Agency	12	Government Agency	No		Yes	Once a year	Yes	Yes	Yes	None	1	26	"["" Dance "",""Art ""]"	10-20%	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	"[""Parallel Studies ""]"	No	0-5	0	Yes	"[""NGOS "",""Government ""]"	"[""Food"",""Books ""]"
5405	2019-05-14 18:14:36	Education	Anganwadi Building	bullo tatung	Government	In Use	Lower Subansiri	Ziro	Hija	27.60649	93.86347	Approved	https://smartvillage.imagetrekk.com/storage/images/JaKowE1k0dTpJjlBlq6oTg5lpNXB9RN1idowQJia.jpeg?asset_id=5405	hija balwadi	1	Pakka Road	1.5	2G Reliable	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	"[""BSNL"",""Vodafone"",""Airtel""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""Compound Wall\/Fencing ""]"	9:0 to 0:0	"[""Friday "",""Thursday "",""Wednesday "",""Tuesday "",""Monday ""]"	1	1	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		Yes	5	No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	Supplier in other states	200	Supplier in other states	No		No		No		No	None	2	5	"[""Others ""]"	0-10%	"[""Lack of Awareness "",""Health issues ""]"	"[""Lack of Awareness "",""Health issues ""]"	"[""Lack of Awareness "",""Health issues ""]"	"[""Lack of Awareness "",""Health issues ""]"	No	0-5	0	No		"[""Other""]"
5464	2019-05-15 12:33:25	Education	Anganwadi Building	phassang kamak	Government	Ir-repairable	Papumpare	Banderdewa	Kharsingsa	27.11457	93.77864	Approved	https://smartvillage.imagetrekk.com/storage/images/nNOdzbvKeAKcjd05NMCsUhSiYCRQC6mQwtrLaEzb.jpeg?asset_id=5464	Require to repair financial support from Govt	1	Kacha Road	1	None							Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	9:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday ""]"	2	2	Bottled Water	20	No				None		No		No		None							No		No		Traditional Book		"[""Financial Support ""]"	"[""Financial Support ""]"	None	600	Government Agency	No		No		No		No	None	1	40	"[""Others ""]"	>40%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	0-5	0	No		"[""Other""]"
5577	2019-05-16 05:32:06	Education	Anganwadi Building	taba rancho	Government	Ir-repairable	Papumpare	Toru	Dokte Hoj	27.25379	93.80858	Approved	https://smartvillage.imagetrekk.com/storage/images/01ZIWYhUotjSrdVjs7MrpywxXP2vxyaoK0Xb6Gho.jpeg?asset_id=5577	7bad	9	Kacha Road with Block Point	3	4G+ Reliable	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	"[""Vodafone"",""Airtel"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	9:21 to 16:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	2	2	Others		No				None		Yes	1	No		Others	2	2	2	2	2	2	No		No		Traditional Book		"[""None ""]"	"[""Others ""]"	Government Agency	50	Self-created Others	No		No		Yes	Yes	No	None	1	15	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	No		"[""Books ""]"
5719	2019-05-17 15:42:53	Education	Anganwadi Building	padi tara	Government	In Use	Lower Subansiri	Ziro	Kalong	27.59555	93.84104	Approved	https://smartvillage.imagetrekk.com/storage/images/z93Bjfzd5sklP1YYXOBqyabyUECVreYTXhzxbW6o.jpeg?asset_id=5719	Taro-Nenting anganwadi centre. Kalung	1	Footway	1	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	8:0 to 4:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	2	2	Ground Water		No				Discarded in Open Field Burnt within the premises		Yes	More than 7 times a week	No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	None	60	Self-created Others	No		No		No		No	None	1	15	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	Yes	6-10	0	No	[]	"[""Food""]"
5720	2019-05-17 15:42:53	Education	Anganwadi Building	padi tara	Government	In Use	Lower Subansiri	Ziro	Kalong	27.59605	93.84201	Approved	https://smartvillage.imagetrekk.com/storage/images/bO8i32lQilIdNpLexAG2Zr3bqnvwkE1n9uQhNbEb.jpeg?asset_id=5720	piita arang anganwadi centre.Reru	1	Footway	1	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	8:0 to 4:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	2	2	Ground Water		No				Discarded in Open Field Burnt within the premises		Yes	More than 7 times a week	No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	None	100	Government Agency	No		No		No		No	None	1	10	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	No		"[""Food""]"
6208	2019-05-24 14:51:57	Education	Anganwadi Building	nending tasser	Government	In Use	Lower Subansiri	Ziro	Hari	27.58697	93.84532	Approved	https://smartvillage.imagetrekk.com/storage/images/jZq8DqBXhG2g7CIYv4H49FVkndzrjJtdBurgKDSk.jpeg?asset_id=6208	anganwadi school	5	Kacha Road	2	2G Unreliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	9:0 to 11:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Bottled Water	20	No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	Local Supplier	30	Self-created Others	No		No		No		No	None	1	16	"[""Others ""]"	10-20%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	0-5	0	No		"[""Other"",""Food"",""Books ""]"
6210	2019-05-25 03:38:08	Education	Anganwadi Building	toi ete	Government	In Use	West Siang	Aalo	Kugi Pomte	28.18559	93.4676	Approved	https://smartvillage.imagetrekk.com/storage/images/VoXJB8MvdMYRSq8lwGAmcXbLAObdBHQuxiErb7jh.jpeg?asset_id=6210	Need maintenance	2	Pakka Road	5	4G+ Reliable	"[""Vodafone""]"	"[""Vodafone""]"	"[""Vodafone""]"	"[""Vodafone""]"	"[""Vodafone""]"	"[""Vodafone""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 0:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""Financial Support ""]"	"[""Financial Support ""]"	Government Agency	100	Government Agency	No		No		Yes	Yes	Yes	None	1	16	"[""Sports""]"	0-10%	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	No	0-5	0	No	[]	"[""Food"",""Books ""]"
6231	2019-05-25 05:10:55	Education	Anganwadi Building	nending tasser	Government	In Use	Lower Subansiri	Ziro	Hari	27.58448	93.84591	Approved	https://smartvillage.imagetrekk.com/storage/images/YzSON3wgHnB2dssg7OMWoFX1IjzL3X6ApoQF0TkM.jpeg?asset_id=6231	Lamber	1	Kacha Road	3	2G Unreliable	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	"[""Airtel"",""BSNL"",""Vodafone""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	9:0 to 12:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Others		No				Discarded in Open Field Burnt within the premises		Yes	7	No		None							No		No		Traditional Book		"[""Others ""]"	"[""Others ""]"	Government Agency	12	Government Agency	No		Yes	Not fixed	Yes	Yes	Yes	Off-site Residential Areas	1	14	"["" Dance "",""Sports""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	0	No		"[""Food"","" Uniform "","" Travel "",""Books ""]"
6240	2019-05-25 05:51:52	Education	Anganwadi Building	toi ete	Community	In Use	West Siang	Aalo	Kugi Pomse	28.35653	93.54999	Approved	https://smartvillage.imagetrekk.com/storage/images/Tu4wtwfbtZEhiDCYXdlArr3tPFajd9gnXtAMdYtb.jpeg?asset_id=6240	maintenance need	2	Kacha Road	5	4G+ Reliable	"[""Vodafone""]"	"[""Vodafone""]"	"[""Vodafone""]"	"[""Vodafone""]"	"[""Vodafone""]"	"[""Vodafone""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 0:0	"[""Monday "",""Wednesday "",""Tuesday "",""Thursday "",""Friday ""]"	1	1	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""Financial Support ""]"	"[""Financial Support ""]"	Government Agency	200	Government Agency	No		No		Yes	Yes	Yes	None	1	15	"["" Dance ""]"	0-10%	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	"[""Health issues ""]"	No	0-5	0	Yes	"[""Government ""]"	"["" Uniform "",""Food"",""Books ""]"
6339	2019-05-27 08:46:12	Education	Anganwadi Building	hibu yagam	Government	In Use	Papumpare	Doimukh	Chiputa	27.18368	93.78156	Approved	https://smartvillage.imagetrekk.com/storage/images/kyYwKLzCUueMtPYAfcLnyfchu3wOFeOTHA32Ewff.jpeg?asset_id=6339	anganwadi chiputa ii	2	Footway	1	4G+ Reliable	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	"[""Airtel"",""Vodafone"",""BSNL"",""Jio""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 8:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Tap Water from Government		Yes	No	Yes	No	None		No		No		None							No		No		Record is not maintained		"[""None ""]"	"[""None""]"	Government Agency	20	Government Agency	No		No		Yes	Yes	No	None	1	1	"["" Dance ""]"	0-10%	"[""Lack of Awareness "",""Parallel Studies ""]"	"[""Lack of Awareness "",""Parallel Studies ""]"	"[""Lack of Awareness "",""Parallel Studies ""]"	"[""Lack of Awareness "",""Parallel Studies ""]"	No	0-5	1	No		"[""Food""]"
6415	2019-05-27 12:48:43	Education	Anganwadi Building	padi tara	Government	Not in Use	Lower Subansiri	Ziro	Reru	27.59928	93.84215	Pending	https://smartvillage.imagetrekk.com/storage/images/k26BkilPjHodfaoxeGF19Xq4FxwUcORgHOmk3l24.jpeg?asset_id=6415	duyu school	1	Footway	1	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Pakka/Permanent(Steel,Concrete,etc.)	"[""None ""]"	8:15 to 3:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	2	2	Ground Water		Yes	No	No	No	Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	None	12.1	Government Agency	No		No		No		No	None	3	18	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	Yes	0-5	0	Yes	"[""Government ""]"	"[""Food""]"
6430	2019-05-27 12:49:07	Education	Anganwadi Building	padi tara	Government	In Use	Lower Subansiri	Ziro	Reru	27.59609	93.84185	Approved	https://smartvillage.imagetrekk.com/storage/images/WNtUIlg9eQ648lku2UR9W9zNiJUsY0AIchAm4Tyt.jpeg?asset_id=6430	Reru ll anganwadi centre	1	Footway	1	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	8:0 to 3:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	2	2	Ground Water		No				Discarded in Open Field Burnt within the premises		Yes	More than 7 times a week	No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	Government Agency	18.11	Government Agency	No		No		No		No	None	1	10	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	Yes	0-5	0	Yes	"[""Government ""]"	"[""Food""]"
6615	2019-05-28 04:21:25	Education	Anganwadi Building	padi tara	Government	In Use	Lower Subansiri	Ziro	Reru	27.59651	93.84251	Approved	https://smartvillage.imagetrekk.com/storage/images/JBO8t3qFYArFjAyH4KetyjArZDNfXr7fH9XnYi8j.jpeg?asset_id=6615	Anganwadi centre,Duyu & Khoda	1	Footway	1	2G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	8:0 to 3:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	2	2	Ground Water		No				Discarded in Open Field Burnt within the premises		Yes	More than 7 times a week	Yes	1	None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	Government Agency	30.25	Government Agency	No		No		No		No	None	1	11	"[""Others ""]"	10-20%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	Yes	0-5	0	Yes	"[""Government ""]"	"[""Food""]"
6685	2019-05-28 09:14:18	Education	Anganwadi Building	mr yomrak kato	Government	In Use	West Siang	Kamba	Kambu	28.26188	94.68138	Approved	https://smartvillage.imagetrekk.com/storage/images/osz595JhcoUSHjhyT7Owx70ThQguEJKWAooOBntG.jpeg?asset_id=6685	Need maintenance and water supply and toilet bathroom is need	3	Kacha Road	6	3G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	6:30 to 9:30	"[""Sunday "",""Saturday "",""Thursday "",""Wednesday "",""Tuesday "",""Friday "",""Monday ""]"	1	2	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""Technical Support"",""Financial Support ""]"	"[""Technical Support "",""Financial Support ""]"	Government Agency	70	Self-created Others	No		Yes	Not fixed	Yes	Yes	No	None	1	18	"[""Sports"","" Dance "",""Art ""]"	0-10%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	0-5	0	No		"[""Food""]"
6687	2019-05-28 09:14:39	Education	Anganwadi Building	mr yomrak kato	Government	Repairable	West Siang	Kamba	Kambu	28.25804	94.68075	Pending	https://smartvillage.imagetrekk.com/storage/images/0PKXRt5lkKhkTh6T4YJd2ElIuIfE8Wjjbis2WFsM.jpeg?asset_id=6687	Anganwadi centre need maintenance and water connection	3	Kacha Road	6	3G Reliable	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	"[""Airtel"",""Vodafone"",""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	6:30 to 12:30	"[""Monday "",""Tuesday "",""Thursday "",""Wednesday "",""Friday "",""Saturday "",""Sunday ""]"	1	2	Tap Water from Government		No				Discarded in Open Field Burnt within the premises		No		No		None							No		No		Traditional Book		"[""Technical Support""]"	"[""Technical Support ""]"	None	50	Self-created Others	No		Yes	Not fixed	Yes	Yes	No	None	1	25	"[""Sports"","" Dance "",""Art ""]"	0-10%	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	"[""Lack of Awareness ""]"	No	0-5	0	No		"[""Food""]"
6739	2019-05-28 15:16:55	Education	Anganwadi Building	lancy padung	Government	Repairable	East Siang	Pasighat	Roying	28.06251	95.27692	Pending	https://smartvillage.imagetrekk.com/storage/images/6wr0X9lmqgIHdHqW669lnyW8Jj6X3EZMT9KQf5mT.jpeg?asset_id=6739	they r facing problem on transportation of extra charge n no Monthly salary	1	Pakka Road	5	4G Unreliable	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	"[""BSNL""]"	Kacha/Temporary(Wood,Bamboo,etc.,)	"[""None ""]"	7:0 to 10:0	"[""Monday "",""Tuesday "",""Wednesday "",""Thursday "",""Friday "",""Saturday ""]"	1	1	Others		No				Discarded in Open Field Burnt within the premises		Yes	2	No		None							No		No		Traditional Book		"[""None ""]"	"[""None""]"	None	200	Government Agency	No		Yes	Not fixed	Yes	Yes	No	None	1	5	"[""Others ""]"	0-10%	"[""Others""]"	"[""Others""]"	"[""Others""]"	"[""Others""]"	No	0-5	1	No		"[""Food"",""Books "","" Uniform ""]"
