id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available to the asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,What are different Mobile network service providers available at the location?,How far is this street light from the nearest substation or transformer ?,Which type of street light is this?,What is the system of street lights used?,Has the street light been installed with the help of APEDA ?
3397,2019-05-05 11:52:47,Energy & ICT,Street Light,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Hija,27.56933,93.83154,Approved,https://smartvillage.imagetrekk.com/storage/images/i0nhuSTxfsb8UYz930BW7jkdR7eH3kLGhzY6Ly3C.jpeg?asset_id=3397,good,Footway,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",2,On-grid,Traditional,No
3405,2019-05-05 12:12:09,Energy & ICT,Street Light,bullo tatung,Government,In Use,Lower Subansiri,Ziro,Hija,27.58348,93.84551,Approved,https://smartvillage.imagetrekk.com/storage/images/e1E9UXmDY7VbkxDMqs0ItHG2Y3iuwIH7bffDzukA.jpeg?asset_id=3405,good,Pakka Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",2,On-grid,Traditional,Yes
3423,2019-05-06 04:55:27,Energy & ICT,Street Light,tilling saha,Government,In Use,Lower Subansiri,Ziro,Bamin,27.56987,93.83068,Approved,https://smartvillage.imagetrekk.com/storage/images/rijhb4J54Y2QGtjixyFR0mZtOeJbpKW0zKpYUjVO.jpeg?asset_id=3423,solar post 2,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.5,On-grid,Solar,No
3425,2019-05-06 04:56:22,Energy & ICT,Street Light,tilling saha,Government,In Use,Lower Subansiri,Ziro,Bamin,27.56924,93.83003,Approved,https://smartvillage.imagetrekk.com/storage/images/2cxp5Duo5KZOrKsEuPmaOJrwiu1EPxCPMA9ijaeT.jpeg?asset_id=3425,solar 1,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.5,On-grid,Solar,Yes
3426,2019-05-06 04:58:58,Energy & ICT,Street Light,tilling saha,Government,In Use,Lower Subansiri,Ziro,Bamin,27.56954,93.82972,Approved,https://smartvillage.imagetrekk.com/storage/images/lAq37uC1woEos7OF60xjXMfyLOqVomAsDWmq9TWA.jpeg?asset_id=3426,solar post 3,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.5,On-grid,Solar,No
3443,2019-05-06 06:04:05,Energy & ICT,Street Light,tilling saha,Government,In Use,Lower Subansiri,Ziro,Bamin,27.56984,93.83011,Approved,https://smartvillage.imagetrekk.com/storage/images/WOMLRd0QOd4xx8tPQmwjqNo7h4evpGdY4i7efB0f.jpeg?asset_id=3443,solar post 6,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.5,On-grid,Solar,No
3444,2019-05-06 06:04:17,Energy & ICT,Street Light,tilling saha,Government,Repairable,Lower Subansiri,Ziro,Bamin,27.56981,93.82995,Approved,https://smartvillage.imagetrekk.com/storage/images/5DJ3ETHFXF09h2vO554K7BVHKysfgvS6mJvj9w9T.jpeg?asset_id=3444,solar post 5,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.5,On-grid,Solar,No
3445,2019-05-06 06:04:26,Energy & ICT,Street Light,tilling saha,Government,In Use,Lower Subansiri,Ziro,Bamin,27.56964,93.82934,Approved,https://smartvillage.imagetrekk.com/storage/images/Oa7XkSgm6QPTvDvUkTmff0ayhazm3cdDxEPRaqWC.jpeg?asset_id=3445,solar post 4,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",0.5,On-grid,Solar,No
3553,2019-05-06 09:32:36,Energy & ICT,Street Light,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.556,93.84023,Approved,https://smartvillage.imagetrekk.com/storage/images/37ebOIFm0um3dFhaiIZSlONQwcZC93mzqfEvY1cI.jpeg?asset_id=3553,good,Kacha Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",1.5,Off- grid,Traditional,Yes
3556,2019-05-06 09:49:05,Energy & ICT,Street Light,taakhe rakesh,Government,In Use,Lower Subansiri,Ziro,Hong,27.55712,93.83842,Approved,https://smartvillage.imagetrekk.com/storage/images/6i8LNsClqsEtQhqZWSTQF8JxDrzgk9wYldrbMFyp.jpeg?asset_id=3556,working,Kacha Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]",1.5,Off- grid,Traditional,Yes
