id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,ngo_support,digital_technologies,classification,marketing,inventory,food_wastage,operations,products,customers,logistics,overall score
4283,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.588790000000003,93.8974,28.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,70.0,95.0,25.0,20.0,0.0,34.2993
4284,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.60295,93.85549,28.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,70.0,95.0,25.0,20.0,0.0,34.2993
4285,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.6118,93.86346999999999,28.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,70.0,95.0,25.0,20.0,0.0,34.2993
4303,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.583479999999998,93.83986999999999,45.8333,50.0,50.0,0.0,22.5,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,34.7321
4304,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58356,93.83995999999999,45.8333,50.0,50.0,0.0,22.5,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,34.7321
4316,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58401,93.84182,45.8333,50.0,50.0,0.0,22.5,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,34.7321
4317,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58401,93.84206999999999,45.8333,50.0,50.0,0.0,22.5,10.0,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,34.7321
4318,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58383,93.84218,45.8333,50.0,50.0,0.0,22.5,76.6667,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,36.7321
4319,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58366,93.84222,45.8333,50.0,50.0,0.0,22.5,63.3333,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,36.3321
4320,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.583790000000004,93.84235,45.8333,50.0,50.0,0.0,22.5,76.6667,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,36.7321
4322,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.583890000000004,93.84238,45.8333,50.0,50.0,0.0,22.5,63.3333,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,36.3321
4323,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.5839,93.84251,45.8333,50.0,50.0,0.0,22.5,63.3333,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,36.3321
4325,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.583779999999997,93.8425,45.8333,50.0,50.0,0.0,22.5,63.3333,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,36.3321
4326,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58385,93.84255,45.8333,50.0,50.0,0.0,22.5,63.3333,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,36.3321
4433,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.583479999999998,93.88343,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4462,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58832,93.8472,38.3333,50.0,50.0,0.0,22.5,63.3333,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,35.2071
4463,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.5876,93.84640999999999,38.3333,50.0,50.0,0.0,22.5,63.3333,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,35.2071
4464,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58754,93.84623,38.3333,50.0,50.0,0.0,22.5,63.3333,0.0,0.0,20.0,12.5,0.0,0.0,0.0,20.0,14.2857,50.0,40.0,97.5,100.0,20.0,0.0,35.2071
4525,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.58702000000001,93.76568,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4526,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.61533,93.80759,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4527,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.5711,93.82755,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4528,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.59941,93.84551,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4530,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.59233,93.80959,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4531,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.583479999999998,93.83354,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4532,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.56225,93.78963,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4533,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.61887,93.78564,58.3333,50.0,50.0,32.0,32.5,5.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.9993
4534,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.58702000000001,93.83753,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4535,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.61533,93.82155999999999,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4536,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.67547,93.81756999999999,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4537,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.588790000000003,93.86746,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4538,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.63125,93.89141,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4539,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.56402000000001,93.83553,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4540,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.55694,93.79762,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4541,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.57994,93.78963,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4543,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hija,27.58525,93.80959,58.3333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,38.3993
4593,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Michi,27.57116,93.82884,60.8333,0.0,50.0,32.0,38.75,80.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,10.0,95.0,25.0,20.0,0.0,30.5118
4594,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Michi,27.57109,93.82868,75.8333,0.0,50.0,32.0,38.75,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,42.8571,50.0,10.0,95.0,25.0,20.0,0.0,33.7689
4595,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Michi,27.57136,93.82851,60.8333,0.0,50.0,32.0,38.75,80.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,42.8571,50.0,10.0,95.0,25.0,20.0,0.0,31.3689
4596,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Michi,27.5711,93.8282,75.8333,0.0,50.0,32.0,38.75,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,14.2857,50.0,10.0,95.0,25.0,20.0,0.0,32.0546
4597,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Michi,27.57118,93.82902,75.8333,0.0,50.0,32.0,38.75,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,14.2857,50.0,10.0,95.0,25.0,20.0,0.0,32.0546
4625,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.65955,93.83952,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,34.6243
4628,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.5941,93.86946,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,34.6243
4629,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.565790000000003,93.86148,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,30.0,95.0,25.0,20.0,0.0,34.6243
4631,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.588790000000003,93.87545,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4632,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.56402000000001,93.84151999999999,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4633,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.60118,93.89141,35.8333,50.0,50.0,32.0,32.5,80.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,34.8743
4634,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.60118,93.89141,35.8333,50.0,50.0,32.0,32.5,80.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,34.8743
4635,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.56402000000001,93.84151999999999,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4638,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.60118,93.80959,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4748,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.6171,93.85948,65.8333,50.0,100.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,10.0,95.0,50.0,20.0,23.0769,42.1474
4754,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.648940000000003,93.8954,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4756,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.569329999999997,93.87145,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4757,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.583479999999998,93.85948,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4758,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.60472,93.84151999999999,35.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,35.0243
4759,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.63833,93.82356,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,37.2743
4761,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Dutta,27.634790000000002,93.87145,50.8333,50.0,50.0,32.0,32.5,85.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,20.0,28.5714,50.0,50.0,95.0,25.0,20.0,0.0,37.2743
