id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,diversity,govt_supplies,anganwadi_score
1308,Education,Anganwadi Building,Lower Subansiri,Ziro,Tajang,27.599559999999997,93.82524000000001,47.6905,8.0,27.1429,100.0,11.1111,55.0,0.0,0.0,60.0,100.0,66.6667,52.0,0.0,60.0,65.0,36.5,0.0,25.0,73.0,47.1912
1313,Education,Anganwadi Building,Lower Subansiri,Ziro,Tajang,27.601440000000004,93.8367,38.2619,6.0,27.1429,100.0,22.2222,15.0,0.0,0.0,60.0,100.0,66.6667,52.0,0.0,130.0,25.0,30.5,0.0,25.0,18.0,37.2836
1328,Education,Anganwadi Building,Lower Subansiri,Ziro,Siro,27.52729,93.83966,19.5952,2.0,52.1429,100.0,11.1111,85.0,0.0,0.0,40.0,100.0,166.6667,52.0,0.0,110.0,90.0,62.5,0.0,25.0,27.0,50.0936
1340,Education,Anganwadi Building,Lohit,Tezu,Laboliang,27.98397000000001,96.17941,46.4286,54.16,31.7381,100.0,22.2222,55.0,0.0,0.0,80.0,100.0,166.6667,52.0,0.0,60.0,65.0,42.5,0.0,50.0,27.0,53.854
1360,Education,Anganwadi Building,East Siang,Oyan,Oyan Village,27.88862,95.3303,32.7143,24.0,35.9048,100.0,22.2222,45.0,0.0,0.0,80.0,100.0,100.0,100.0,0.0,130.0,65.0,67.5,0.0,100.0,82.0,61.8526
1385,Education,Anganwadi Building,West Kameng,Shergaon,Jigaon,27.12172,92.25605999999999,34.2619,5.264,35.4762,100.0,11.1111,45.0,0.0,0.0,40.0,100.0,100.0,100.0,0.0,140.0,25.0,72.5,0.0,25.0,73.0,51.7586
1386,Education,Anganwadi Building,West Kameng,Shergaon,Shergaon,27.125529999999998,92.26469,34.2619,64.4,35.4762,100.0,22.2222,45.0,0.0,0.0,40.0,100.0,100.0,100.0,0.0,140.0,25.0,58.5,0.0,25.0,73.0,59.1016
1387,Education,Anganwadi Building,West Kameng,Shergaon,Shergaon,27.13206,92.26279,45.6905,62.96,35.4762,100.0,11.1111,45.0,0.0,0.0,40.0,100.0,100.0,100.0,0.0,140.0,25.0,54.5,0.0,25.0,73.0,59.0564
1404,Education,Anganwadi Building,Lower Subansiri,Ziro,Hari,27.58465,93.84275,27.9286,6.0,27.5714,100.0,22.2222,15.0,0.0,0.0,60.0,100.0,166.6667,52.0,0.0,110.0,65.0,57.5,0.0,25.0,27.0,45.9198
1512,Education,Anganwadi Building,Shi-Yomi,Monigong,Karle,28.739209999999996,94.30121,31.0238,0.48,50.8571,50.0,22.2222,0.0,0.0,0.0,20.0,100.0,0.0,52.0,0.0,60.0,25.0,85.0,0.0,25.0,9.0,23.6486
1517,Education,Anganwadi Building,Shi-Yomi,Monigong,Karle,28.739990000000002,94.311,13.881,4.5,51.2857,50.0,22.2222,15.0,0.0,0.0,20.0,100.0,0.0,52.0,0.0,100.0,25.0,85.0,0.0,25.0,36.0,30.3924
1558,Education,Anganwadi Building,East Siang,Mebo,Mottum,28.08,95.43847,38.4286,1.2,19.2381,100.0,22.2222,45.0,0.0,0.0,20.0,100.0,100.0,100.0,0.0,130.0,25.0,52.5,0.0,25.0,82.0,51.4238
1661,Education,Anganwadi Building,East Siang,Oyan,Rani,27.96524,95.31135,38.4286,11.0,23.4048,100.0,11.1111,15.0,0.0,0.0,40.0,100.0,0.0,100.0,0.0,130.0,65.0,73.5,0.0,25.0,73.0,46.4481
1662,Education,Anganwadi Building,East Siang,Oyan,Rani,27.964859999999998,95.31164,40.4286,7.0,23.4048,100.0,11.1111,15.0,0.0,0.0,40.0,100.0,0.0,100.0,0.0,130.0,65.0,66.0,0.0,25.0,73.0,45.9031
1780,Education,Anganwadi Building,Tirap,Khonsa,Lapnan,26.99141,95.48243000000001,32.2619,51.0,0.4286,0.0,22.2222,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,25.0,22.5,0.0,25.0,9.0,15.2621
2135,Education,Anganwadi Building,West Kameng,Nafra,Lower Dzong,27.370340000000002,92.53594,36.8333,56.6,44.2381,100.0,22.2222,55.0,0.0,0.0,60.0,100.0,166.6667,100.0,0.0,60.0,90.0,62.5,0.0,25.0,82.0,64.4941
2919,Education,Anganwadi Building,West Kameng,Shergaon,Shergaon,27.127290000000002,92.25835,49.6905,37.12,27.1429,100.0,11.1111,85.0,0.0,0.0,40.0,100.0,100.0,100.0,0.0,140.0,90.0,40.5,0.0,25.0,73.0,61.9056
