id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,The Over Ground water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,What is the type of the material that is used to cover the roof of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank ?,Are there any water level indicators marked?,What is the frequency of technical maintenance or safety audit ?,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
1841.0,Water,Over Ground Tanks,Lower Subansiri,Pistana,Did,27.6,93.67,kacha road,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support#technical support,none,yes,concrete,no,10000.0,tin sheets,1.00,more than 4,no,monthly,N/A,N/A,N/A,N/A,N/A,N/A
1919.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hong,27.56,93.85,kacha road,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,no,concrete,no,5000.0,cement slabs,2.00,2.00,no,yearly,N/A,N/A,N/A,N/A,N/A,N/A
1920.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hong,27.56,93.85,pakka road,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,no,concrete,yes,3000.0,cement slabs,2.00,2.00,no,yearly,N/A,N/A,N/A,N/A,N/A,N/A
1924.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hong,27.56,93.85,pakka road,4g unreliable,vodafone#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,no,concrete,no,2000.0,cement slabs,2.00,2.00,no,yearly,N/A,N/A,N/A,N/A,N/A,N/A
2395.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Modang Tage,27.57,93.87,pakka road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",technical support,mixes with the near by water bodies,yes,concrete,yes,10000.0,tin sheets,more than 4,more than 4,no,never,N/A,N/A,N/A,N/A,N/A,N/A
2578.0,Water,Over Ground Tanks,Lower Subansiri,Yachuli,Jara,27.53,93.77,kacha road,4g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",others,discarded in open field,no,concrete,no,5000.0,cement slabs,1.00,1.00,no,yearly,N/A,N/A,N/A,N/A,N/A,N/A
2612.0,Water,Over Ground Tanks,Lower Subansiri,Yachuli,Toon,27.46,93.77,kacha road with block point,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,mixes with the near by water bodies,yes,concrete,no,20000.0,cement slabs,more than 4,4.00,no,monthly,N/A,N/A,N/A,N/A,N/A,N/A
2639.0,Water,Over Ground Tanks,Changlang,Changlang,Old Changlang,27.14,95.74,kacha road with block point,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",technical support,discarded in open field,no,concrete,no,5000.0,cement slabs,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
2743.0,Water,Over Ground Tanks,Tawang,Mukto,Gomkelling,27.55,91.93,pakka road,4g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,no,concrete,no,1400.0,cement slabs,1.00,1.00,no,monthly,N/A,N/A,N/A,N/A,N/A,N/A
3388.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.59,93.8,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,no,concrete,no,10000.0,none,2.00,1.00,no,never,N/A,N/A,N/A,N/A,N/A,N/A
3631.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Modang Tage,27.57,93.83,pakka road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,discarded in open field,no,concrete,no,1000.0,none,1.00,1.00,no,others,N/A,N/A,N/A,N/A,N/A,N/A
3649.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Modang Tage,27.57,93.83,pakka road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",technical support,discarded in govt. designated structures,no,concrete,yes,10000.0,tin sheets,1.00,1.00,no,never,N/A,N/A,N/A,N/A,N/A,N/A
3680.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.6,93.9,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,yes,concrete,no,3000.0,none,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
3750.0,Water,Over Ground Tanks,East Siang,Ruksin,Mangnang,27.91,95.28,kacha road,3g reliable,jio#airtel#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,yes,iron,yes,10000.0,steel,4.00,2.00,yes,others,N/A,N/A,N/A,N/A,N/A,N/A
3757.0,Water,Over Ground Tanks,East Siang,Ruksin,Mangnang,27.91,95.27,kacha road,3g reliable,jio#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",support via schemes,discarded in open field,yes,concrete,no,20000.0,cement slabs,2.00,2.00,yes,others,N/A,N/A,N/A,N/A,N/A,N/A
3963.0,Water,Over Ground Tanks,West Kameng,Shinchung,Shinchung,27.19,92.47,footway,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",financial support,discarded in govt. designated structures,yes,concrete,no,12000.0,cement slabs,2.00,2.00,no,monthly,N/A,N/A,N/A,N/A,N/A,N/A
3984.0,Water,Over Ground Tanks,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56,93.85,kacha road,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,mixes with the near by water bodies,no,others,no,10000.0,steel,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
3993.0,Water,Over Ground Tanks,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56,93.85,footway,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",others,mixes with the near by water bodies,no,bamboo,no,15000.0,tin sheets,1.00,1.00,no,others,N/A,N/A,N/A,N/A,N/A,N/A
3994.0,Water,Over Ground Tanks,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56,93.85,footway,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none#others,mixes with the near by water bodies,no,bamboo,no,20000.0,steel,2.00,1.00,no,others,N/A,N/A,N/A,N/A,N/A,N/A
4075.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Kalong,27.59,93.84,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,yes,others,no,1500.0,cement slabs,more than 4,more than 4,yes,yearly,N/A,N/A,N/A,N/A,N/A,N/A
4209.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.59,93.89,pakka road,2g reliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,yes,concrete,no,10000.0,tin sheets,1.00,1.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
4333.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Bamin,27.57,93.83,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,discarded in open field,no,others,no,5000.0,cement slabs,2.00,2.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
4475.0,Water,Over Ground Tanks,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56,93.85,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",others,mixes with the near by water bodies,no,concrete,no,2000.0,cement slabs,2.00,more than 4,no,others,N/A,N/A,N/A,N/A,N/A,N/A
4505.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.61,93.86,pakka road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,no,concrete,no,10000.0,tin sheets,2.00,2.00,no,never,N/A,N/A,N/A,N/A,N/A,N/A
4521.0,Water,Over Ground Tanks,Lower Subansiri,Ziro,Hija,27.6,93.78,kacha road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,mixes with the near by water bodies,yes,concrete,yes,5000.0,tin sheets,2.00,2.00,no,irregular,N/A,N/A,N/A,N/A,N/A,N/A
