id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the unit until it was open?,What is the type of the road available to the unit?,How much distance should one travel from the unit to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the unit?,What are different Mobile network service providers available at the location of the unit?,What is the type of structure of the unit?,What is the type of security available for the unit?,What are the working hours of the unit?(Ex: 9.00A.M-5.A.M),What are the working days of the unit?,How many Technical staff are employed in the unit?,How many Non Technical staff are employed in the unit?,Where do you get drinking water from for using at the unit?,Where do you get water for operational purposes for the unit?,Are there toilets available for public and employees' usage at the unit?,How do you deal with the agricultural waste generated from the unit?,Are the premises of unit cleaned with disinfectant regularly?,How frequently are the premises at the unit cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the unit?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the unit?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the unit?,Does the unit have wired internet connection?,How do you maintain records for operations of the unit?,What are the areas the unit gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the unit?,Are you using any digital technologies that can be used in the unit?,What is the type of products stored in the unit?,How does the unit advertise about the services available?,What is the average operational cost per month to run the unit?(Excluding Salary of the Employees),What are the products purchased by the customers from the unit?,What is the average cost per unit to store in the unit?(In Rupees),Which type of customers store the produce in the unit?,How does the customers transport the goods to store in the unit?,How many cubic meters are available for storage?,Do you have a cold storage facility?,How often did you need to throw away agricultural produce last week?,How do you document wastage of food?
6117,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58446,93.84501,1,footway,2.0,2g unreliable,airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,bottled water,ground water,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,500,rice,>300,farmers,head load,60.0,no,1,none
6118,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Hari,27.58404,93.84494,1,footway,2.0,2g unreliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,0,monday#tuesday#wednesday#thursday#friday#saturday#sunday,0,0,bottled water,ground water,no,discarded in open field,no,N/A,no,N/A,none,N/A,no,no,others,none,no,no,food grains,others,300,rice,201-300,farmers,head load,20.0,no,1,none
6119,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59737,93.84065,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,480,monday#tuesday#friday#saturday#sunday#thursday#wednesday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvestings,1-100,farmers,head load,12.0,no,1,none
6120,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59742,93.84068,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,480,monday#tuesday#saturday#sunday#thursday#friday#wednesday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6121,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59746,93.84031,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,420,sunday#saturday#friday#thursday#wednesday#tuesday#monday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,10.0,no,1,none
6122,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59793,93.84047,1,pakka road,1.0,2g reliable,airtel#vodafone#bsnl,"pakka/permenant(steel,concrete,etc.,)",none,420,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.12,no,1,none
6123,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.5974,93.84079,1,pakka road,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,480,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6124,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.597790000000003,93.84067,1,pakka road,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,420,sunday#saturday#friday#thursday#wednesday#tuesday#monday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.8,no,1,none
6125,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59744,93.84018,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,480,monday#tuesday#wednesday#thursday#friday#saturday#sunday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,farmers,head load,12.0,no,1,none
6126,Agriculture,Warehouse / Godown/ Timber Depot,Lower Subansiri,Ziro,Reru,27.59742,93.84029,1,footway,1.0,2g reliable,airtel#vodafone#bsnl,"kacha/temporary(wood,bamboo,etc.,)",none,480,monday#thursday#friday#saturday#sunday#tuesday#wednesday,1,1,ground water,ground water,no,burnt within the premises,yes,more than 7 times,no,N/A,none,N/A,no,no,traditional book keeping,none,no,no,others,others,0,on harvesting,1-100,others,head load,10.0,no,1,none
