id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,Is that Tap in working condition?,Is check valve working in the tap ?,How far is the tap from the water tank/Source ?,What is the diameter of the Pipe ?,How many Taps are connected to one standpod?,What is the length of the service tap?,What is the basement/ foundation is made of ?,Is there any rust on the tap ?,Were people drinking water while you visited this spot?,Are there any charges which come when getting water from this tap?,What is the frequency of technical maintenance or safety audit ?
1774,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Lapnan,26.99203,95.483,kacha road,3g unreliable,bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,780,none,2,2,discarded in open field,no,yes,yes,above 500 meters,12mm,1,2,others,no,no,no,never
1777,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Lapnan,26.99347,95.48341,kacha road,3g unreliable,bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,780,none,2,2,discarded in open field,no,yes,yes,above 500 meters,12mm,1,2,others,yes,yes,no,never
1788,Water,Public Taps/ Public Stand Pod,East Siang,Oyan,Oyan Village,27.87863,95.31268,kacha road,4g reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1440,none,3,0,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,30,cement,no,yes,no,monthly
1789,Water,Public Taps/ Public Stand Pod,East Siang,Oyan,Sille Village,27.90227,95.30024,kacha road,4g reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1440,financial support,5,1,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,30,cement,no,yes,no,monthly
1790,Water,Public Taps/ Public Stand Pod,East Siang,Oyan,Sille Village,27.90158,95.3001,kacha road,4g reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1440,financial support,5,1,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,30,cement,no,yes,no,monthly
1792,Water,Public Taps/ Public Stand Pod,East Siang,Oyan,Sille Village,27.90023,95.30206,pakka road,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support,5,1,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,30,cement,no,yes,no,monthly
1795,Water,Public Taps/ Public Stand Pod,East Siang,Oyan,Oyan Village,27.873140000000006,95.31062,pakka road,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support,3,0,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,30,cement,no,yes,no,monthly
1796,Water,Public Taps/ Public Stand Pod,East Siang,Oyan,Oyan Village,27.8767,95.31577,pakka road,4g reliable,vodafone#bsnl#jio#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1440,financial support,3,0,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,30,cement,no,yes,no,monthly
1797,Water,Public Taps/ Public Stand Pod,East Siang,Oyan,Oyan Village,27.8772,95.31262,pakka road,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support,3,0,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,30,cement,no,yes,no,monthly
2493,Water,Public Taps/ Public Stand Pod,Papumpare,Parang,Pareng,27.32996,93.50597,kacha road,nil,N/A,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,discarded in open field,no,yes,no,above 500 meters,12mm,1,10,cement,no,no,no,never
